,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
Scotland,2472956,2472489,302,165,2473881,2372777,36642,64462,546887,554307,458594,850961,45398,13359,4375
S01006506,452,452,-,-,452,424,9,19,105,63,33,209,38,3,1
S01006507,365,365,-,-,365,364,-,1,90,59,139,75,1,-,1
S01006508,351,351,-,-,351,340,5,6,44,24,40,232,10,-,1
S01006509,282,282,-,-,282,274,-,8,32,77,81,91,1,-,-
S01006510,268,268,-,-,268,256,4,8,37,108,38,81,3,1,-
S01006511,318,318,-,-,318,315,1,2,90,189,20,17,2,-,-
S01006512,179,179,-,-,179,170,2,7,125,34,15,2,1,-,2
S01006513,259,259,-,-,259,230,-,29,43,146,15,54,-,-,1
S01006514,351,351,-,-,351,339,2,10,252,82,6,11,-,-,-
S01006515,283,283,-,-,283,271,-,12,191,72,7,11,2,-,-
S01006516,195,195,-,-,195,185,2,8,122,50,10,4,8,1,-
S01006517,419,419,-,-,419,403,1,15,279,68,41,29,-,-,2
S01006518,254,254,-,-,254,247,1,6,209,26,4,7,4,4,-
S01006519,286,286,-,-,286,281,1,4,254,18,7,5,2,-,-
S01006520,228,228,-,-,228,222,1,5,215,6,3,4,-,-,-
S01006521,264,264,-,-,264,243,7,14,145,42,45,25,7,-,-
S01006522,223,223,-,-,223,218,2,3,95,110,2,8,6,2,-
S01006523,448,448,-,-,448,427,10,11,95,142,28,160,22,1,-
S01006524,344,344,-,-,344,314,5,25,133,58,13,128,6,6,-
S01006525,346,346,-,-,346,339,-,7,191,49,65,38,3,-,-
S01006526,451,451,-,-,451,439,6,6,10,76,135,225,3,2,-
S01006527,294,294,-,-,294,286,6,2,12,142,91,47,1,1,-
S01006528,459,459,-,-,459,433,22,4,10,146,166,130,7,-,-
S01006529,522,522,-,-,522,496,11,15,7,83,30,385,15,2,-
S01006530,361,361,-,-,361,356,1,4,4,111,62,180,3,1,-
S01006531,434,434,-,-,434,429,-,5,8,62,89,266,8,1,-
S01006532,346,346,-,-,346,337,-,9,45,158,44,88,11,-,-
S01006533,319,319,-,-,319,305,-,14,57,101,96,41,23,1,-
S01006534,413,413,-,-,413,398,6,9,52,112,93,111,45,-,-
S01006535,580,580,-,-,580,564,2,14,20,68,61,390,40,1,-
S01006536,611,610,1,-,612,589,19,4,7,41,71,424,65,4,-
S01006537,367,367,-,-,367,341,8,18,67,231,35,30,4,-,-
S01006538,247,247,-,-,247,240,4,3,65,149,26,7,-,-,-
S01006539,343,343,-,-,343,330,-,13,22,211,40,64,6,-,-
S01006540,508,508,-,-,508,451,6,51,34,272,20,172,4,6,-
S01006541,408,408,-,-,408,392,1,15,36,247,39,73,11,2,-
S01006542,519,519,-,-,519,496,14,9,109,262,6,142,-,-,-
S01006543,371,371,-,-,371,363,-,8,12,341,11,7,-,-,-
S01006544,624,622,-,2,630,507,31,92,116,105,64,320,23,2,-
S01006545,618,618,-,-,618,586,16,16,78,172,65,294,9,-,-
S01006546,274,274,-,-,274,262,7,5,58,193,3,20,-,-,-
S01006547,455,455,-,-,455,442,-,13,166,40,103,140,6,-,-
S01006548,316,316,-,-,316,312,2,2,25,286,2,3,-,-,-
S01006549,388,388,-,-,388,366,5,17,169,134,11,71,3,-,-
S01006550,400,400,-,-,400,389,4,7,148,232,10,5,4,-,1
S01006551,408,408,-,-,408,392,10,6,42,40,114,202,7,3,-
S01006552,432,432,-,-,432,417,10,5,89,147,85,111,-,-,-
S01006553,410,410,-,-,410,407,-,3,164,82,91,71,1,1,-
S01006554,350,350,-,-,350,330,15,5,64,81,48,151,2,4,-
S01006555,386,386,-,-,386,374,1,11,13,57,49,266,1,-,-
S01006556,417,417,-,-,417,399,6,12,9,75,148,177,6,2,-
S01006557,354,354,-,-,354,338,10,6,14,46,127,166,1,-,-
S01006558,363,363,-,-,363,354,3,6,4,18,88,218,35,-,-
S01006559,280,278,2,-,282,272,7,3,13,62,55,108,41,3,-
S01006560,449,448,-,1,451,432,8,11,50,112,87,151,48,3,-
S01006561,327,327,-,-,327,323,1,3,38,122,79,60,28,-,-
S01006562,344,344,-,-,344,334,4,6,78,101,65,92,8,-,-
S01006563,383,383,-,-,383,366,1,16,26,99,76,149,32,1,-
S01006564,594,594,-,-,594,578,1,15,10,7,17,544,10,6,-
S01006565,595,595,-,-,595,565,4,26,1,5,18,543,26,2,-
S01006566,446,445,1,-,447,437,2,8,8,28,45,297,69,-,-
S01006567,571,571,-,-,571,552,3,16,6,13,6,501,39,6,-
S01006568,603,603,-,-,603,575,4,24,5,21,9,526,35,7,-
S01006569,319,319,-,-,319,311,2,6,3,23,57,191,41,4,-
S01006570,385,385,-,-,385,371,7,7,29,98,34,186,35,3,-
S01006571,460,460,-,-,460,427,20,13,13,34,148,177,77,11,-
S01006572,404,404,-,-,404,374,7,23,221,67,14,61,40,1,-
S01006573,311,311,-,-,311,290,18,3,19,104,70,73,45,-,-
S01006574,468,468,-,-,468,427,30,11,77,88,71,139,91,2,-
S01006575,413,413,-,-,413,399,4,10,30,126,74,130,51,2,-
S01006576,338,338,-,-,338,325,-,13,18,125,35,127,31,2,-
S01006577,456,455,1,-,457,430,15,12,10,40,63,311,32,1,-
S01006578,660,657,3,-,663,633,5,25,4,12,43,566,35,3,-
S01006579,660,660,-,-,660,640,5,15,3,10,7,628,9,3,-
S01006580,433,432,1,-,434,422,1,11,9,12,55,305,51,2,-
S01006581,419,419,-,-,419,402,6,11,70,138,64,120,27,-,-
S01006582,508,508,-,-,508,466,29,13,2,11,25,429,32,9,-
S01006583,427,427,-,-,427,404,17,6,1,4,5,414,2,1,-
S01006584,380,380,-,-,380,354,15,11,4,12,23,286,50,5,-
S01006585,518,518,-,-,518,465,45,8,1,7,10,468,15,17,-
S01006586,689,688,1,-,690,650,13,27,10,9,24,563,45,39,-
S01006587,346,346,-,-,346,318,12,16,3,8,10,291,19,15,-
S01006588,351,351,-,-,351,338,4,9,3,5,1,306,5,31,-
S01006589,384,384,-,-,384,367,6,11,1,5,5,345,11,17,-
S01006590,409,409,-,-,409,379,1,29,8,11,15,321,51,3,-
S01006591,376,376,-,-,376,367,3,6,2,10,28,312,22,2,-
S01006592,421,421,-,-,421,374,38,9,11,38,32,312,28,-,-
S01006593,437,437,-,-,437,411,22,4,7,8,43,323,48,6,2
S01006594,371,371,-,-,371,345,13,13,6,44,14,298,6,3,-
S01006595,583,581,2,-,585,555,15,15,7,19,35,507,16,1,-
S01006596,363,363,-,-,363,359,1,3,12,33,54,219,45,-,-
S01006597,355,354,1,-,356,352,2,2,2,6,7,321,18,2,-
S01006598,453,453,-,-,453,435,11,7,40,165,75,119,54,-,-
S01006599,509,509,-,-,509,499,4,6,14,29,19,435,10,2,-
S01006600,619,619,-,-,619,587,17,15,17,108,97,378,17,2,-
S01006601,586,585,1,-,587,572,2,13,6,147,62,338,33,1,-
S01006602,436,435,1,-,437,414,14,9,59,73,69,195,40,1,-
S01006603,409,409,-,-,409,385,18,6,15,57,136,196,3,2,-
S01006604,304,304,-,-,304,291,11,2,3,67,186,48,-,-,-
S01006605,432,432,-,-,432,409,20,3,14,55,66,292,4,1,-
S01006606,400,400,-,-,400,390,5,5,39,194,11,153,-,3,-
S01006607,390,390,-,-,390,385,4,1,7,84,123,173,-,2,1
S01006608,286,286,-,-,286,284,-,2,190,80,6,6,3,-,1
S01006609,497,497,-,-,497,490,-,7,14,112,257,113,-,1,-
S01006610,238,238,-,-,238,212,18,8,3,38,103,94,-,-,-
S01006611,432,432,-,-,432,425,-,7,8,98,188,135,1,1,1
S01006612,385,385,-,-,385,373,11,1,87,71,178,47,2,-,-
S01006613,264,264,-,-,264,259,4,1,128,62,7,66,1,-,-
S01006614,267,267,-,-,267,265,-,2,66,135,57,7,1,1,-
S01006615,274,274,-,-,274,270,-,4,195,57,14,8,-,-,-
S01006616,340,340,-,-,340,337,1,2,80,130,44,84,2,-,-
S01006617,303,303,-,-,303,297,2,4,114,78,88,21,-,1,1
S01006618,251,251,-,-,251,246,3,2,79,122,14,35,1,-,-
S01006619,382,382,-,-,382,372,7,3,75,72,196,37,1,-,1
S01006620,397,397,-,-,397,390,2,5,37,127,195,37,1,-,-
S01006621,246,246,-,-,246,235,4,7,9,57,151,29,-,-,-
S01006622,302,302,-,-,302,292,4,6,31,113,94,64,-,-,-
S01006623,407,405,2,-,409,359,31,19,31,77,22,246,12,-,21
S01006624,518,517,1,-,519,481,30,8,6,57,34,399,22,1,-
S01006625,295,295,-,-,295,288,4,3,4,91,29,157,13,1,-
S01006626,407,407,-,-,407,377,24,6,5,38,3,354,6,1,-
S01006627,540,540,-,-,540,511,13,16,8,14,11,471,31,5,-
S01006628,681,678,3,-,684,635,36,13,3,6,22,616,28,9,-
S01006629,348,348,-,-,348,315,26,7,11,67,20,245,4,1,-
S01006630,273,273,-,-,273,256,14,3,4,81,50,138,-,-,-
S01006631,530,528,1,1,533,493,27,13,19,52,65,367,22,7,1
S01006632,450,450,-,-,450,423,9,18,4,11,9,420,6,-,-
S01006633,305,305,-,-,305,288,16,1,12,62,95,133,3,-,-
S01006634,316,316,-,-,316,291,21,4,9,36,76,189,4,2,-
S01006635,300,300,-,-,300,289,5,6,4,40,61,181,13,1,-
S01006636,420,420,-,-,420,386,29,5,1,19,27,371,2,-,-
S01006637,443,443,-,-,443,413,15,15,14,8,80,309,23,9,-
S01006638,521,519,1,1,526,504,-,22,1,13,11,461,40,-,-
S01006639,632,631,-,1,634,592,21,21,5,10,14,574,17,13,1
S01006640,427,427,-,-,427,376,37,14,2,3,3,412,7,-,-
S01006641,660,659,1,-,661,602,46,13,7,3,27,605,19,-,-
S01006642,542,541,1,-,543,492,20,31,9,10,5,486,24,9,-
S01006643,448,448,-,-,448,419,16,13,5,2,16,399,26,-,-
S01006644,601,601,-,-,601,553,4,44,3,8,8,580,2,-,-
S01006645,414,414,-,-,414,393,17,4,3,1,5,394,7,4,-
S01006646,367,367,-,-,367,340,12,15,3,1,6,318,13,26,-
S01006647,365,365,-,-,365,341,17,7,2,5,11,339,7,1,-
S01006648,694,690,3,1,702,651,27,24,3,7,4,634,31,23,-
S01006649,601,600,1,-,602,583,9,10,3,3,8,570,16,2,-
S01006650,491,491,-,-,491,481,7,3,4,22,15,388,61,1,-
S01006651,405,404,1,-,406,382,18,6,8,8,25,326,30,9,-
S01006652,318,317,1,-,319,308,4,7,5,7,8,283,11,5,-
S01006653,304,304,-,-,304,296,3,5,10,52,15,206,21,-,-
S01006654,531,531,-,-,531,504,16,11,7,15,27,463,19,-,-
S01006655,347,346,1,-,348,334,9,5,1,18,63,232,34,-,-
S01006656,543,543,-,-,543,524,10,9,12,23,21,432,54,1,-
S01006657,306,306,-,-,306,286,17,3,3,6,13,262,18,3,1
S01006658,567,566,1,-,568,525,34,9,5,12,12,493,46,-,-
S01006659,308,308,-,-,308,287,13,8,11,60,26,125,86,-,-
S01006660,254,254,-,-,254,247,1,6,4,3,1,226,19,1,-
S01006661,305,304,1,-,306,301,-,5,8,59,57,159,23,-,-
S01006662,302,300,2,-,304,285,14,5,2,11,28,254,9,-,-
S01006663,248,248,-,-,248,245,1,2,11,15,64,121,35,2,-
S01006664,242,242,-,-,242,237,1,4,13,29,15,164,20,1,-
S01006665,324,324,-,-,324,316,1,7,8,35,18,232,30,1,-
S01006666,550,550,-,-,550,499,38,13,5,9,10,517,7,2,-
S01006667,463,463,-,-,463,447,9,7,4,9,2,444,3,1,-
S01006668,424,424,-,-,424,413,3,8,-,1,3,411,8,1,-
S01006669,454,454,-,-,454,444,8,2,20,25,30,337,38,4,-
S01006670,363,363,-,-,363,347,1,15,-,4,2,347,9,1,-
S01006671,243,243,-,-,243,233,7,3,21,13,22,169,17,1,-
S01006672,388,386,2,-,390,366,15,9,19,29,30,300,10,2,-
S01006673,371,371,-,-,371,367,2,2,28,19,19,295,8,2,-
S01006674,586,586,-,-,586,544,33,9,8,5,5,566,1,1,-
S01006675,350,349,1,-,351,315,29,7,1,8,13,328,1,-,-
S01006676,396,396,-,-,396,358,31,7,5,52,57,272,7,3,-
S01006677,440,440,-,-,440,398,36,6,3,25,69,339,3,1,-
S01006678,573,573,-,-,573,525,38,10,15,59,92,404,2,1,-
S01006679,320,320,-,-,320,315,-,5,31,135,76,68,9,1,-
S01006680,451,451,-,-,451,416,20,15,9,12,39,387,4,-,-
S01006681,482,482,-,-,482,464,9,9,8,35,44,392,3,-,-
S01006682,430,429,1,-,431,384,37,10,9,16,14,381,11,-,-
S01006683,424,424,-,-,424,370,42,12,2,55,8,352,6,1,-
S01006684,462,462,-,-,462,401,48,13,17,31,21,354,29,10,-
S01006685,447,446,1,-,448,427,11,10,6,14,7,414,6,1,-
S01006686,332,332,-,-,332,305,15,12,4,5,11,312,-,-,-
S01006687,437,437,-,-,437,419,9,9,3,12,5,415,2,-,-
S01006688,517,517,-,-,517,510,2,5,20,158,57,279,3,-,-
S01006689,346,346,-,-,346,288,32,26,35,48,62,184,16,1,-
S01006690,320,320,-,-,320,308,1,11,3,23,32,251,9,2,-
S01006691,280,280,-,-,280,271,5,4,27,40,11,172,29,1,-
S01006692,374,374,-,-,374,361,-,13,17,116,58,139,43,1,-
S01006693,500,498,-,2,505,497,-,8,30,31,21,356,67,-,-
S01006694,495,495,-,-,495,480,3,12,1,16,82,394,2,-,-
S01006695,353,353,-,-,353,346,6,1,6,85,162,100,-,-,-
S01006696,401,401,-,-,401,390,7,4,2,25,131,240,3,-,-
S01006697,465,465,-,-,465,435,25,5,27,70,112,250,5,-,1
S01006698,422,422,-,-,422,409,6,7,2,13,47,360,-,-,-
S01006699,216,216,-,-,216,209,4,3,6,76,26,108,-,-,-
S01006700,447,447,-,-,447,431,4,12,59,57,76,247,8,-,-
S01006701,345,345,-,-,345,321,16,8,3,48,132,160,2,-,-
S01006702,336,336,-,-,336,332,-,4,5,100,217,14,-,-,-
S01006703,315,315,-,-,315,301,9,5,9,64,134,108,-,-,-
S01006704,313,313,-,-,313,301,5,7,4,24,89,196,-,-,-
S01006705,374,374,-,-,374,364,7,3,5,56,223,86,3,1,-
S01006706,288,288,-,-,288,272,13,3,8,62,141,75,2,-,-
S01006707,350,350,-,-,350,311,34,5,9,35,131,173,2,-,-
S01006708,379,379,-,-,379,364,7,8,9,98,213,59,-,-,-
S01006709,382,382,-,-,382,376,1,5,11,114,164,93,-,-,-
S01006710,417,417,-,-,417,415,-,2,6,121,253,36,-,1,-
S01006711,531,531,-,-,531,511,17,3,6,84,245,193,3,-,-
S01006712,254,254,-,-,254,250,2,2,11,65,173,5,-,-,-
S01006713,433,433,-,-,433,420,10,3,6,88,247,91,1,-,-
S01006714,315,315,-,-,315,304,1,10,6,112,108,89,-,-,-
S01006715,225,225,-,-,225,218,3,4,10,70,88,56,1,-,-
S01006716,247,247,-,-,247,242,2,3,10,115,85,37,-,-,-
S01006717,453,453,-,-,453,445,2,6,10,86,275,78,2,2,-
S01006718,251,251,-,-,251,248,2,1,8,189,38,15,1,-,-
S01006719,352,352,-,-,352,350,-,2,8,142,193,9,-,-,-
S01006720,245,245,-,-,245,242,2,1,3,61,165,16,-,-,-
S01006721,393,393,-,-,393,386,3,4,5,139,200,49,-,-,-
S01006722,318,318,-,-,318,312,4,2,11,67,188,51,1,-,-
S01006723,284,284,-,-,284,283,-,1,8,106,159,10,1,-,-
S01006724,359,359,-,-,359,343,10,6,4,70,79,202,3,1,-
S01006725,271,271,-,-,271,265,4,2,9,88,128,46,-,-,-
S01006726,531,529,2,-,533,505,10,18,17,66,26,409,7,-,8
S01006727,423,422,1,-,424,395,19,10,10,73,56,285,-,-,-
S01006728,343,343,-,-,343,334,1,8,2,88,128,124,-,1,-
S01006729,382,382,-,-,382,349,5,28,7,89,16,267,3,-,-
S01006730,280,280,-,-,280,276,-,4,7,43,201,29,-,-,-
S01006731,263,263,-,-,263,257,4,2,2,28,133,99,1,-,-
S01006732,362,362,-,-,362,353,1,8,248,61,10,14,14,2,13
S01006733,316,316,-,-,316,309,2,5,239,67,5,4,-,1,-
S01006734,362,362,-,-,362,352,1,9,191,137,7,26,-,1,-
S01006735,247,247,-,-,247,245,-,2,187,32,25,3,-,-,-
S01006736,399,399,-,-,399,395,-,4,201,173,14,10,1,-,-
S01006737,276,276,-,-,276,265,1,10,165,85,18,7,-,1,-
S01006738,496,496,-,-,496,453,21,22,48,31,19,305,31,4,58
S01006739,337,337,-,-,337,309,2,26,26,51,85,119,13,1,42
S01006740,341,341,-,-,341,335,2,4,9,136,148,46,2,-,-
S01006741,344,344,-,-,344,342,1,1,8,64,257,14,1,-,-
S01006742,233,233,-,-,233,233,-,-,4,27,192,9,1,-,-
S01006743,280,280,-,-,280,271,4,5,31,116,34,90,9,-,-
S01006744,320,320,-,-,320,302,11,7,22,51,53,147,46,1,-
S01006745,424,424,-,-,424,409,5,10,30,62,98,217,16,1,-
S01006746,351,351,-,-,351,350,-,1,8,224,98,18,2,1,-
S01006747,369,369,-,-,369,368,-,1,14,287,52,9,2,5,-
S01006748,429,429,-,-,429,408,11,10,153,90,70,102,12,2,-
S01006749,424,424,-,-,424,419,-,5,43,109,136,135,1,-,-
S01006750,294,294,-,-,294,292,-,2,19,129,78,66,-,2,-
S01006751,245,245,-,-,245,241,1,3,26,90,42,79,5,1,2
S01006752,343,343,-,-,343,339,-,4,10,147,87,97,-,-,2
S01006753,416,416,-,-,416,410,1,5,122,169,52,60,12,1,-
S01006754,406,406,-,-,406,400,4,2,122,187,31,65,1,-,-
S01006755,305,305,-,-,305,289,4,12,131,110,7,53,-,1,3
S01006756,299,299,-,-,299,286,6,7,80,18,47,151,3,-,-
S01006757,350,350,-,-,350,343,3,4,76,179,30,64,1,-,-
S01006758,322,322,-,-,322,318,-,4,105,132,4,79,2,-,-
S01006759,253,253,-,-,253,251,1,1,114,106,7,26,-,-,-
S01006760,239,239,-,-,239,235,2,2,25,68,86,55,5,-,-
S01006761,342,342,-,-,342,334,4,4,99,145,30,68,-,-,-
S01006762,423,423,-,-,423,416,1,6,117,195,60,49,2,-,-
S01006763,347,347,-,-,347,334,-,13,54,167,119,5,2,-,-
S01006764,353,353,-,-,353,345,1,7,36,179,87,50,1,-,-
S01006765,281,281,-,-,281,273,1,7,40,120,37,82,2,-,-
S01006766,242,242,-,-,242,240,-,2,144,55,23,20,-,-,-
S01006767,287,287,-,-,287,283,1,3,83,89,109,6,-,-,-
S01006768,213,213,-,-,213,212,-,1,190,19,1,3,-,-,-
S01006769,399,399,-,-,399,392,2,5,82,167,138,12,-,-,-
S01006770,276,276,-,-,276,273,1,2,62,200,10,4,-,-,-
S01006771,151,151,-,-,151,150,-,1,81,64,3,3,-,-,-
S01006772,380,380,-,-,380,375,-,5,64,238,6,70,2,-,-
S01006773,255,255,-,-,255,255,-,-,78,171,3,3,-,-,-
S01006774,221,221,-,-,221,221,-,-,100,114,2,5,-,-,-
S01006775,326,326,-,-,326,319,1,6,21,79,74,143,9,-,-
S01006776,281,281,-,-,281,271,1,9,4,102,42,129,4,-,-
S01006777,263,263,-,-,263,262,1,-,80,173,7,3,-,-,-
S01006778,289,289,-,-,289,287,-,2,41,174,47,27,-,-,-
S01006779,305,305,-,-,305,293,2,10,10,81,117,91,6,-,-
S01006780,256,256,-,-,256,254,1,1,35,98,99,17,7,-,-
S01006781,298,298,-,-,298,295,-,3,25,211,44,18,-,-,-
S01006782,350,350,-,-,350,341,4,5,117,83,35,113,2,-,-
S01006783,305,305,-,-,305,299,5,1,18,200,41,45,-,-,1
S01006784,308,308,-,-,308,302,1,5,40,143,20,102,2,1,-
S01006785,224,224,-,-,224,223,-,1,102,86,9,27,-,-,-
S01006786,342,342,-,-,342,339,1,2,121,142,18,59,2,-,-
S01006787,287,287,-,-,287,281,-,6,84,118,82,2,1,-,-
S01006788,322,322,-,-,322,302,11,9,97,118,35,29,-,4,39
S01006789,407,407,-,-,407,290,103,14,207,109,39,46,1,5,-
S01006790,532,532,-,-,532,444,79,9,206,167,83,61,6,9,-
S01006791,332,332,-,-,332,253,77,2,266,37,6,14,7,-,2
S01006792,273,273,-,-,273,214,52,7,213,47,7,1,5,-,-
S01006793,351,351,-,-,351,245,82,24,214,93,12,17,7,8,-
S01006794,292,292,-,-,292,280,3,9,123,123,41,4,1,-,-
S01006795,333,333,-,-,333,319,4,10,212,51,10,49,8,3,-
S01006796,242,242,-,-,242,222,17,3,173,53,9,4,1,2,-
S01006797,292,292,-,-,292,243,37,12,228,40,11,1,7,4,1
S01006798,236,236,-,-,236,225,5,6,207,18,6,2,1,1,1
S01006799,415,415,-,-,415,403,-,12,138,204,24,39,4,6,-
S01006800,340,340,-,-,340,320,5,15,278,46,7,2,5,1,1
S01006801,370,370,-,-,370,353,3,14,292,62,8,4,2,1,1
S01006802,341,341,-,-,341,298,10,33,175,88,29,38,8,2,1
S01006803,316,316,-,-,316,313,1,2,63,169,52,29,2,1,-
S01006804,302,302,-,-,302,295,-,7,169,71,37,24,1,-,-
S01006805,463,463,-,-,463,442,2,19,220,94,85,39,8,10,7
S01006806,448,448,-,-,448,429,1,18,278,110,51,6,2,1,-
S01006807,275,275,-,-,275,243,12,20,112,80,78,2,-,1,2
S01006808,257,257,-,-,257,248,5,4,200,43,8,3,1,-,2
S01006809,370,370,-,-,370,354,4,12,143,153,64,8,-,2,-
S01006810,423,423,-,-,423,370,41,12,188,121,73,31,8,2,-
S01006811,446,446,-,-,446,430,6,10,251,113,69,4,7,2,-
S01006812,320,320,-,-,320,304,7,9,164,124,23,2,5,-,2
S01006813,350,350,-,-,350,322,15,13,86,140,65,47,11,1,-
S01006814,299,299,-,-,299,282,4,13,241,43,2,13,-,-,-
S01006815,294,294,-,-,294,285,2,7,51,80,71,90,1,1,-
S01006816,316,316,-,-,316,298,6,12,151,54,69,32,6,4,-
S01006817,275,275,-,-,275,261,2,12,132,89,32,21,1,-,-
S01006818,288,288,-,-,288,278,2,8,201,77,7,-,2,-,1
S01006819,323,323,-,-,323,313,3,7,197,78,40,4,2,-,2
S01006820,184,184,-,-,184,180,1,3,73,63,45,2,1,-,-
S01006821,235,235,-,-,235,229,2,4,197,27,2,4,4,1,-
S01006822,294,294,-,-,294,279,1,14,240,44,5,-,4,-,1
S01006823,311,311,-,-,311,302,1,8,159,30,44,66,12,-,-
S01006824,374,374,-,-,374,367,2,5,14,69,129,159,2,1,-
S01006825,335,335,-,-,335,333,1,1,55,163,113,2,2,-,-
S01006826,345,345,-,-,345,344,1,-,188,69,72,15,-,-,1
S01006827,426,426,-,-,426,419,1,6,57,138,128,86,14,3,-
S01006828,515,514,1,-,516,485,11,20,48,103,90,230,36,9,-
S01006829,139,139,-,-,139,139,-,-,106,29,3,1,-,-,-
S01006830,303,303,-,-,303,301,-,2,89,155,37,22,-,-,-
S01006831,222,222,-,-,222,221,-,1,93,90,38,1,-,-,-
S01006832,432,432,-,-,432,424,2,6,149,118,40,93,17,15,-
S01006833,181,181,-,-,181,175,3,3,96,50,21,-,13,1,-
S01006834,163,163,-,-,163,163,-,-,121,30,10,2,-,-,-
S01006835,501,501,-,-,501,478,5,18,33,53,103,246,33,32,1
S01006836,223,223,-,-,223,210,1,12,109,17,2,90,5,-,-
S01006837,230,230,-,-,230,230,-,-,93,97,21,17,1,1,-
S01006838,250,250,-,-,250,249,-,1,119,115,6,8,1,-,1
S01006839,460,460,-,-,460,450,1,9,77,230,139,11,2,1,-
S01006840,374,374,-,-,374,366,-,8,305,63,4,2,-,-,-
S01006841,348,348,-,-,348,344,-,4,190,131,24,3,-,-,-
S01006842,310,310,-,-,310,308,-,2,105,183,17,5,-,-,-
S01006843,315,315,-,-,315,312,-,3,143,154,13,5,-,-,-
S01006844,335,335,-,-,335,332,-,3,81,150,8,90,5,-,1
S01006845,371,371,-,-,371,366,1,4,163,149,26,32,1,-,-
S01006846,242,242,-,-,242,240,-,2,32,147,37,26,-,-,-
S01006847,240,240,-,-,240,238,-,2,110,124,5,1,-,-,-
S01006848,381,381,-,-,381,364,1,16,233,53,20,1,6,-,68
S01006849,363,363,-,-,363,355,-,8,198,108,18,38,1,-,-
S01006850,369,369,-,-,369,365,-,4,29,128,211,-,1,-,-
S01006851,339,339,-,-,339,337,-,2,65,134,109,29,1,1,-
S01006852,237,237,-,-,237,229,3,5,144,81,8,4,-,-,-
S01006853,329,329,-,-,329,318,1,10,270,47,7,2,-,2,1
S01006854,371,371,-,-,371,364,2,5,204,139,25,2,1,-,-
S01006855,310,310,-,-,310,294,7,9,243,42,19,4,2,-,-
S01006856,265,265,-,-,265,254,-,11,188,56,12,2,3,4,-
S01006857,418,418,-,-,418,398,3,17,286,97,14,12,4,1,4
S01006858,249,249,-,-,249,240,2,7,209,25,13,-,-,-,2
S01006859,426,426,-,-,426,421,2,3,325,42,2,56,1,-,-
S01006860,270,270,-,-,270,264,-,6,43,54,129,42,2,-,-
S01006861,196,196,-,-,196,195,-,1,152,42,1,1,-,-,-
S01006862,316,316,-,-,316,312,-,4,110,133,36,28,6,3,-
S01006863,303,303,-,-,303,295,1,7,119,80,101,2,-,-,1
S01006864,170,170,-,-,170,165,1,4,66,67,15,22,-,-,-
S01006865,456,456,-,-,456,424,10,22,192,73,14,127,24,26,-
S01006866,222,222,-,-,222,220,1,1,180,34,6,2,-,-,-
S01006867,302,302,-,-,302,293,-,9,211,56,9,18,8,-,-
S01006868,368,368,-,-,368,364,-,4,127,161,68,6,5,-,1
S01006869,205,205,-,-,205,197,5,3,137,40,17,3,4,2,2
S01006870,200,200,-,-,200,196,-,4,121,61,9,8,-,1,-
S01006871,271,271,-,-,271,265,1,5,177,72,10,11,-,1,-
S01006872,258,258,-,-,258,252,1,5,226,29,1,-,2,-,-
S01006873,493,493,-,-,493,426,50,17,311,93,41,47,1,-,-
S01006874,224,224,-,-,224,216,6,2,199,20,2,1,1,1,-
S01006875,340,340,-,-,340,321,17,2,152,149,24,10,2,3,-
S01006876,413,413,-,-,413,396,17,-,281,90,28,8,4,2,-
S01006877,403,403,-,-,403,372,26,5,358,35,2,4,2,-,2
S01006878,373,373,-,-,373,322,50,1,253,63,33,13,8,1,2
S01006879,380,380,-,-,380,322,49,9,322,51,1,1,4,-,1
S01006880,234,234,-,-,234,227,1,6,197,27,2,4,4,-,-
S01006881,238,238,-,-,238,227,3,8,203,32,2,-,1,-,-
S01006882,212,212,-,-,212,207,-,5,47,133,2,30,-,-,-
S01006883,228,228,-,-,228,217,1,10,119,37,16,45,10,1,-
S01006884,405,405,-,-,405,390,2,13,233,120,25,21,1,5,-
S01006885,232,232,-,-,232,220,4,8,190,36,6,-,-,-,-
S01006886,342,342,-,-,342,321,5,16,239,54,42,2,2,3,-
S01006887,218,218,-,-,218,213,3,2,165,29,5,18,-,1,-
S01006888,322,322,-,-,322,309,4,9,235,65,12,6,3,1,-
S01006889,351,351,-,-,351,350,-,1,70,150,126,4,1,-,-
S01006890,267,267,-,-,267,264,3,-,151,62,16,36,2,-,-
S01006891,410,410,-,-,410,400,-,10,167,103,72,56,9,3,-
S01006892,280,280,-,-,280,275,-,5,43,188,46,1,2,-,-
S01006893,198,198,-,-,198,196,1,1,65,60,72,1,-,-,-
S01006894,455,455,-,-,455,448,-,7,112,248,9,84,2,-,-
