,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday home,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01010700,268,268,-,-,268,258,1,9,181,64,19,3,1,-,-
S01010701,451,451,-,-,451,432,4,15,176,160,80,27,7,1,-
S01010702,446,446,-,-,446,417,23,6,349,58,27,5,6,-,1
S01010703,350,350,-,-,350,341,2,7,291,44,10,3,1,-,1
S01010704,309,309,-,-,309,300,1,8,89,144,67,8,1,-,-
S01010705,483,483,-,-,483,463,-,20,213,191,14,56,4,4,1
S01010706,308,308,-,-,308,293,3,12,89,155,32,16,7,6,3
S01010707,278,278,-,-,278,265,6,7,225,34,11,-,2,2,4
S01010708,259,259,-,-,259,252,-,7,103,103,47,4,2,-,-
S01010709,305,305,-,-,305,299,-,6,165,112,24,2,2,-,-
S01010710,321,321,-,-,321,316,-,5,65,150,92,10,4,-,-
S01010711,334,334,-,-,334,319,2,13,244,62,18,8,-,2,-
S01010712,275,275,-,-,275,269,-,6,53,121,80,20,1,-,-
S01010713,330,330,-,-,330,322,-,8,27,83,213,6,1,-,-
S01010714,393,393,-,-,393,380,-,13,41,98,79,160,3,12,-
S01010715,350,350,-,-,350,340,1,9,70,120,139,9,9,3,-
S01010716,467,467,-,-,467,444,1,22,90,84,46,209,17,21,-
S01010717,285,285,-,-,285,272,1,12,219,50,9,7,-,-,-
S01010718,404,404,-,-,404,393,1,10,232,63,36,70,3,-,-
S01010719,301,301,-,-,301,282,13,6,121,123,38,10,7,2,-
S01010720,349,349,-,-,349,336,6,7,213,85,37,6,8,-,-
S01010721,314,314,-,-,314,296,9,9,189,67,39,7,8,4,-
S01010722,418,418,-,-,418,394,9,15,116,173,109,2,14,3,1
S01010723,345,345,-,-,345,329,10,6,278,36,15,5,7,-,4
S01010724,364,364,-,-,364,354,4,6,235,82,32,6,4,3,2
S01010725,304,304,-,-,304,287,6,11,261,34,2,-,3,1,3
S01010726,432,432,-,-,432,415,5,12,271,103,40,15,1,-,2
S01010727,245,245,-,-,245,243,2,-,199,37,5,1,1,1,1
S01010728,213,213,-,-,213,204,3,6,182,24,4,-,-,1,2
S01010729,280,280,-,-,280,269,4,7,243,28,7,1,1,-,-
S01010730,364,364,-,-,364,343,10,11,278,59,24,-,-,1,2
S01010731,458,458,-,-,458,399,23,36,162,114,145,20,11,5,1
S01010732,342,342,-,-,342,334,5,3,69,67,199,6,-,-,1
S01010733,256,256,-,-,256,246,1,9,28,123,97,6,1,1,-
S01010734,368,368,-,-,368,362,-,6,72,115,153,12,15,1,-
S01010735,252,252,-,-,252,244,-,8,55,40,138,14,5,-,-
S01010736,219,219,-,-,219,218,-,1,157,57,4,1,-,-,-
S01010737,499,499,-,-,499,487,1,11,200,176,85,26,4,8,-
S01010738,242,242,-,-,242,235,1,6,46,187,5,4,-,-,-
S01010739,400,400,-,-,400,388,4,8,68,177,109,30,10,5,1
S01010740,267,267,-,-,267,260,2,5,17,61,123,64,1,1,-
S01010741,258,258,-,-,258,249,5,4,128,81,36,13,-,-,-
S01010742,317,317,-,-,317,308,1,8,68,70,125,43,5,3,3
S01010743,276,276,-,-,276,273,-,3,15,55,193,13,-,-,-
S01010744,473,473,-,-,473,459,2,12,122,198,137,14,2,-,-
S01010745,357,357,-,-,357,327,8,22,79,91,87,78,14,7,1
S01010746,468,468,-,-,468,441,8,19,287,97,66,10,5,1,2
S01010747,385,385,-,-,385,357,25,3,132,120,121,7,4,1,-
S01010748,322,322,-,-,322,280,36,6,183,89,34,10,2,1,3
S01010749,269,269,-,-,269,261,5,3,158,62,45,1,2,-,1
S01010750,320,320,-,-,320,287,12,21,176,78,64,1,1,-,-
S01010751,376,376,-,-,376,333,24,19,64,140,163,1,6,2,-
S01010752,352,352,-,-,352,332,5,15,78,90,136,34,8,5,1
S01010753,456,456,-,-,456,434,5,17,190,92,86,84,3,1,-
S01010754,373,373,-,-,373,357,-,16,110,101,75,65,11,11,-
S01010755,305,305,-,-,305,298,-,7,48,185,43,17,6,5,1
S01010756,303,303,-,-,303,286,1,16,198,75,12,18,-,-,-
S01010757,459,459,-,-,459,365,82,12,327,108,9,4,7,4,-
S01010758,362,362,-,-,362,305,29,28,200,106,49,3,-,2,2
S01010759,313,313,-,-,313,279,19,15,62,159,41,47,-,4,-
S01010760,371,371,-,-,371,306,36,29,184,122,32,24,2,7,-
S01010761,253,253,-,-,253,222,15,16,205,35,7,1,-,2,3
S01010762,273,273,-,-,273,263,7,3,189,61,20,-,-,2,1
S01010763,343,342,-,1,346,316,15,15,162,143,31,2,2,4,2
S01010764,366,366,-,-,366,289,60,17,297,61,2,-,1,1,4
S01010765,532,532,-,-,532,471,37,24,312,171,24,7,4,10,4
S01010766,405,405,-,-,405,359,21,25,136,192,57,12,4,3,1
S01010767,404,404,-,-,404,347,39,18,137,164,77,23,1,2,-
S01010768,299,299,-,-,299,284,10,5,53,190,50,4,-,2,-
S01010769,250,250,-,-,250,217,29,4,227,13,8,1,-,-,1
S01010770,410,410,-,-,410,385,10,15,127,189,71,15,1,5,2
S01010771,529,528,1,-,530,445,72,13,261,185,58,13,3,10,-
