,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S01006706,272,81,94,53,32,10,1,1,0
S01006707,311,95,109,68,30,6,3,0,0
S01006708,364,124,126,59,40,13,2,0,0
S01006709,376,106,124,83,42,19,2,0,0
S01006710,415,150,156,61,34,12,2,0,0
S01006711,511,254,160,51,33,11,1,1,0
S01006712,250,82,94,46,24,4,0,0,0
S01006713,420,137,140,80,41,19,2,0,1
S01006714,304,106,97,46,34,18,3,0,0
S01006715,218,44,64,35,44,21,6,3,1
S01006716,242,54,86,48,38,12,4,0,0
S01006717,445,149,150,85,39,19,2,1,0
S01006718,248,58,88,44,35,18,4,1,0
S01006719,350,76,117,66,55,28,8,0,0
S01006720,242,61,87,47,29,16,0,1,1
S01006721,386,117,132,54,71,11,1,0,0
S01006722,312,85,98,63,33,27,5,1,0
S01006723,283,87,94,54,37,7,3,1,0
S01006724,343,66,76,95,58,28,12,6,2
S01006725,265,72,79,55,38,12,6,3,0
S01006726,505,110,139,111,75,56,10,2,2
S01006727,395,137,94,69,63,24,6,0,2
S01006728,334,103,107,80,30,10,3,0,1
S01006729,349,112,94,72,46,19,6,0,0
S01006730,276,55,102,55,50,8,5,0,1
S01006731,257,87,88,40,22,16,2,2,0
S01006732,353,65,122,79,59,21,4,2,1
S01006733,309,36,92,73,84,20,3,1,0
S01006734,352,75,102,85,75,14,1,0,0
S01006735,245,45,114,24,41,17,4,0,0
S01006736,395,50,134,100,96,13,2,0,0
S01006737,265,51,116,36,41,16,3,0,2
S01006738,453,216,155,44,28,5,4,0,1
S01006739,309,117,122,43,19,7,1,0,0
S01006740,335,103,129,54,33,14,2,0,0
S01006741,342,134,129,45,31,3,0,0,0
S01006742,233,92,81,39,18,2,0,1,0
S01006743,271,106,106,34,18,4,2,1,0
S01006744,302,119,109,39,25,8,1,0,1
S01006745,409,154,152,59,33,11,0,0,0
S01006746,350,97,125,72,38,17,1,0,0
S01006747,368,82,177,64,37,8,0,0,0
S01006748,408,123,165,56,39,21,4,0,0
S01006749,419,141,147,64,55,10,2,0,0
S01006750,292,83,120,50,30,7,1,1,0
S01006751,241,93,78,34,25,9,1,1,0
S01006752,339,119,127,48,32,12,0,1,0
S01006753,410,115,175,56,44,16,4,0,0
S01006754,400,88,201,62,33,12,4,0,0
S01006755,289,70,92,51,62,10,3,0,1
S01006756,286,82,101,50,44,6,3,0,0
S01006757,343,112,126,54,46,3,2,0,0
S01006758,318,101,122,49,35,7,3,0,1
S01006759,251,58,101,43,39,10,0,0,0
S01006760,235,77,94,36,23,3,1,1,0
S01006761,334,98,152,45,35,4,0,0,0
S01006762,416,168,158,51,31,6,1,0,1
S01006763,334,69,101,83,63,15,3,0,0
S01006764,345,101,113,66,60,5,0,0,0
S01006765,273,94,95,44,30,10,0,0,0
S01006766,240,54,87,39,41,17,1,0,1
S01006767,283,69,99,53,50,9,3,0,0
S01006768,212,16,78,57,49,12,0,0,0
S01006769,392,93,138,86,52,16,6,0,1
S01006770,273,39,138,54,33,8,1,0,0
S01006771,150,11,48,31,47,9,3,0,1
S01006772,375,107,153,59,42,12,0,1,1
S01006773,255,42,101,41,55,11,5,0,0
S01006774,221,14,79,56,53,16,2,1,0
S01006775,319,141,108,33,25,10,2,0,0
S01006776,271,121,104,24,15,7,0,0,0
S01006777,262,39,122,50,40,10,1,0,0
S01006778,287,71,129,51,28,8,0,0,0
S01006779,293,115,93,38,37,8,2,0,0
S01006780,254,71,100,44,24,13,2,0,0
S01006781,295,68,130,44,38,11,4,0,0
S01006782,341,128,106,49,41,9,8,0,0
S01006783,299,68,143,48,29,9,1,1,0
S01006784,302,110,119,44,26,3,0,0,0
S01006785,223,30,82,45,54,8,2,2,0
S01006786,339,84,115,62,62,13,2,1,0
S01006787,281,65,120,50,35,11,0,0,0
S01006788,302,79,100,51,55,11,4,1,1
S01006789,290,102,114,45,17,9,3,0,0
S01006790,444,177,162,52,36,14,3,0,0
S01006791,253,90,102,29,18,10,2,2,0
S01006792,214,57,98,26,20,8,4,1,0
S01006793,245,83,105,29,17,8,3,0,0
S01006794,280,101,117,36,16,7,3,0,0
S01006795,319,93,122,45,42,10,6,1,0
S01006796,222,37,95,34,36,18,2,0,0
S01006797,243,49,105,31,37,15,4,2,0
S01006798,225,34,94,30,38,19,6,2,2
S01006799,403,147,126,60,55,14,1,0,0
S01006800,320,56,128,44,59,26,6,1,0
S01006801,353,55,165,64,48,20,1,0,0
S01006802,298,93,111,47,28,9,8,2,0
S01006803,313,105,119,38,36,9,2,3,1
S01006804,295,53,112,70,44,12,3,1,0
S01006805,442,116,147,79,62,25,7,0,6
S01006806,429,104,167,80,49,21,6,1,1
S01006807,243,40,109,34,45,10,5,0,0
S01006808,248,44,106,41,40,15,2,0,0
S01006809,354,108,132,50,40,19,2,1,2
S01006810,370,109,132,49,47,29,4,0,0
S01006811,430,87,157,90,68,23,4,0,1
S01006812,304,61,130,52,50,9,1,1,0
S01006813,322,87,109,48,58,13,6,1,0
S01006814,282,39,116,42,58,14,10,1,2
S01006815,285,111,97,44,27,4,2,0,0
S01006816,298,87,101,49,43,13,5,0,0
S01006817,261,62,93,50,37,12,5,2,0
S01006818,278,51,112,36,65,8,6,0,0
S01006819,313,58,105,65,55,28,1,1,0
S01006820,180,35,79,29,24,10,3,0,0
S01006821,229,46,92,36,41,7,4,3,0
S01006822,279,46,115,42,39,27,7,1,2
S01006823,302,101,108,34,42,13,4,0,0
S01006824,367,130,110,64,49,9,5,0,0
S01006825,333,74,129,60,59,7,4,0,0
S01006826,344,74,112,73,63,18,3,1,0
S01006827,419,141,154,73,40,10,1,0,0
S01006828,485,214,169,58,34,8,2,0,0
S01006829,139,15,36,28,46,12,1,1,0
S01006830,301,72,117,45,49,16,2,0,0
S01006831,221,49,91,36,29,14,1,1,0
S01006832,424,109,169,62,56,24,2,2,0
S01006833,175,35,69,28,34,9,0,0,0
S01006834,163,12,31,45,54,19,2,0,0
S01006835,478,254,134,53,26,10,1,0,0
S01006836,210,68,49,36,46,10,1,0,0
S01006837,230,49,70,49,48,13,1,0,0
S01006838,249,56,75,46,60,8,4,0,0
S01006839,450,111,189,67,67,14,2,0,0
S01006840,366,46,133,71,89,25,1,0,1
S01006841,344,53,124,70,75,21,1,0,0
S01006842,308,47,114,70,62,14,1,0,0
S01006843,312,51,115,52,77,13,3,1,0
S01006844,332,139,98,50,39,6,0,0,0
S01006845,366,77,118,78,72,19,2,0,0
S01006846,240,63,95,41,32,7,2,0,0
S01006847,238,31,84,50,60,8,5,0,0
S01006848,364,81,135,58,64,21,5,0,0
S01006849,355,40,126,107,59,16,7,0,0
S01006850,365,64,125,90,60,21,5,0,0
S01006851,337,99,100,69,51,14,3,1,0
S01006852,229,41,88,43,42,12,1,1,1
S01006853,318,68,110,46,66,18,8,2,0
S01006854,364,81,154,69,46,12,1,1,0
S01006855,294,43,126,41,57,20,5,2,0
S01006856,254,42,103,35,52,17,3,2,0
S01006857,398,92,156,51,66,25,6,1,1
S01006858,240,37,97,44,37,22,2,0,1
S01006859,421,96,147,69,68,32,8,1,0
S01006860,264,104,95,27,28,7,1,2,0
S01006861,195,23,42,46,61,23,0,0,0
S01006862,312,98,118,46,43,5,2,0,0
S01006863,295,90,94,53,41,16,1,0,0
S01006864,165,35,56,24,30,14,5,0,1
S01006865,424,144,167,52,40,18,3,0,0
S01006866,220,48,95,21,35,18,3,0,0
S01006867,293,64,118,49,39,18,5,0,0
S01006868,364,97,119,73,55,15,5,0,0
S01006869,197,45,77,26,34,13,2,0,0
S01006870,196,48,73,28,32,13,2,0,0
S01006871,265,54,93,39,49,23,6,1,0
S01006872,252,36,92,40,56,22,5,0,1
S01006873,426,135,162,54,47,25,1,1,1
S01006874,216,39,78,44,40,12,2,1,0
S01006875,321,115,114,42,31,14,4,1,0
S01006876,396,87,155,59,68,19,5,3,0
S01006877,372,76,155,55,56,28,1,1,0
S01006878,322,107,130,34,31,14,4,1,1
S01006879,322,91,128,46,38,15,2,0,2
S01006880,227,32,88,49,47,9,2,0,0
S01006881,227,34,106,40,27,16,4,0,0
S01006882,207,99,59,24,18,5,2,0,0
S01006883,217,86,71,23,27,7,3,0,0
S01006884,390,123,129,66,54,15,3,0,0
S01006885,220,50,102,28,24,12,4,0,0
S01006886,321,84,140,43,34,17,2,1,0
S01006887,213,29,81,38,44,20,1,0,0
S01006888,309,58,120,57,44,27,1,2,0
S01006889,350,101,122,65,38,15,5,3,1
S01006890,264,57,94,54,41,14,4,0,0
S01006891,400,125,137,59,59,19,1,0,0
S01006892,275,93,89,49,28,14,2,0,0
S01006893,196,28,69,45,35,16,1,0,2
S01006894,448,160,170,54,51,10,3,0,0
S01006895,266,107,96,31,20,10,2,0,0
S01006896,361,105,158,53,38,6,1,0,0
S01006897,290,66,108,54,49,10,3,0,0
S01006898,340,112,116,58,41,9,4,0,0
S01006899,242,50,84,54,43,9,2,0,0
S01006900,234,46,89,48,45,5,1,0,0
S01006901,270,89,98,40,30,9,3,1,0
S01006902,296,95,88,48,49,14,2,0,0
S01006903,349,110,125,60,40,10,2,1,1
S01006904,330,125,112,43,37,11,1,1,0
S01006905,395,119,157,54,46,17,1,0,1
S01006906,441,193,156,47,33,9,1,2,0
S01006907,305,121,122,36,10,15,1,0,0
S01006908,426,190,148,50,25,12,0,1,0
S01006909,275,24,105,68,65,8,5,0,0
S01006910,353,75,143,72,46,11,6,0,0
S01006911,224,19,68,56,61,16,4,0,0
S01006912,170,33,68,35,25,7,1,0,1
S01006913,182,27,43,43,51,10,6,2,0
S01006914,273,43,102,48,55,20,4,0,1
S01006915,301,39,125,49,59,23,3,3,0
S01006916,207,36,63,45,50,13,0,0,0
S01006917,320,27,75,75,122,20,1,0,0
S01006918,195,42,71,32,39,10,0,1,0
S01006919,205,42,98,29,25,7,3,1,0
S01006920,243,88,90,31,29,5,0,0,0
S01006921,270,21,76,66,81,24,1,0,1
S01006922,201,41,85,28,30,12,4,1,0
S01006923,331,83,138,42,52,14,2,0,0
S01006924,208,39,72,38,41,16,1,0,1
S01006925,215,56,87,32,30,9,0,0,1
S01006926,263,27,105,47,65,15,4,0,0
S01006927,358,27,129,112,71,17,2,0,0
S01006928,416,95,145,79,77,18,1,1,0
S01006929,280,28,102,44,69,29,7,0,1
S01006930,358,68,145,67,61,16,1,0,0
S01006931,159,39,59,21,30,9,0,1,0
S01006932,195,13,47,54,62,17,2,0,0
S01006933,220,33,78,53,48,8,0,0,0
S01006934,234,59,90,41,29,11,3,1,0
S01006935,301,81,117,46,43,11,2,1,0
S01006936,274,79,99,37,42,15,2,0,0
S01006937,316,86,118,49,54,9,0,0,0
S01006938,254,91,91,33,34,3,0,2,0
S01006939,234,36,92,44,49,11,2,0,0
S01006940,378,81,150,61,56,29,1,0,0
S01006941,255,68,85,36,51,14,1,0,0
S01006942,390,67,112,81,105,22,3,0,0
S01006943,208,17,38,49,83,16,5,0,0
S01006944,327,54,104,87,62,17,3,0,0
S01006945,215,49,93,27,39,6,1,0,0
S01006946,314,61,132,42,52,22,4,1,0
S01006947,306,49,85,69,82,19,2,0,0
S01006948,372,94,149,59,52,15,2,1,0
S01006949,248,40,95,47,48,16,2,0,0
S01006950,199,23,67,57,43,7,1,1,0
S01006951,204,60,76,26,32,8,2,0,0
S01006952,364,106,141,55,46,9,4,3,0
S01006953,301,51,113,55,62,17,3,0,0
S01006954,317,45,129,66,62,10,5,0,0
S01006955,267,85,84,49,30,15,1,3,0
S01006956,394,47,139,93,82,26,6,1,0
S01006957,387,66,138,67,82,25,7,1,1
S01006958,435,147,193,48,37,9,1,0,0
S01006959,347,150,114,39,36,7,1,0,0
S01006960,318,33,75,82,99,24,4,1,0
S01006961,321,29,80,89,94,23,5,1,0
S01006962,409,121,183,48,47,8,2,0,0
S01006963,275,63,111,42,49,6,3,0,1
S01006964,348,119,121,59,42,7,0,0,0
S01006965,216,61,84,33,31,6,1,0,0
S01006966,253,70,90,37,41,13,2,0,0
S01006967,237,35,95,42,50,13,1,1,0
