,All households,+2 or more,1,0	,-1,-2 or less
S01008192,360,106,110,91,41,12
S01008193,327,156,84,74,9,4
S01008194,244,81,87,62,12,2
S01008195,331,65,125,95,36,10
S01008196,333,53,114,122,37,7
S01008197,390,179,97,80,29,5
S01008198,300,132,90,61,14,3
S01008199,298,56,92,97,40,13
S01008200,300,46,98,122,26,8
S01008201,354,79,108,122,38,7
S01008202,261,102,66,83,9,1
S01008203,283,45,91,100,37,10
S01008204,480,128,181,139,25,7
S01008205,276,99,89,58,24,6
S01008206,295,77,127,68,18,5
S01008207,246,48,74,95,26,3
S01008208,344,143,106,75,15,5
S01008209,200,101,61,29,8,1
S01008210,417,139,137,115,20,6
S01008211,420,140,119,115,42,4
S01008212,212,138,41,28,4,1
S01008213,370,246,75,39,9,1
S01008214,354,101,145,76,23,9
S01008215,324,104,107,86,23,4
S01008216,205,114,59,24,6,2
S01008217,226,180,31,10,5,0
S01008218,376,274,65,27,10,0
S01008219,424,147,122,120,29,6
S01008220,223,79,58,61,17,8
S01008221,309,60,87,112,40,10
S01008222,287,68,96,90,23,10
S01008223,280,69,85,106,17,3
S01008224,406,146,136,103,17,4
S01008225,290,119,84,69,10,8
S01008226,379,77,126,146,26,4
S01008227,389,64,130,133,41,21
S01008228,279,153,63,50,9,4
S01008229,300,51,107,109,26,7
S01008230,305,161,85,49,9,1
S01008231,243,196,31,14,1,1
S01008232,259,124,63,59,9,4
S01008233,178,98,32,36,6,6
S01008234,187,65,62,50,8,2
S01008235,368,125,120,87,26,10
S01008236,386,158,113,86,24,5
S01008237,376,125,110,102,31,8
S01008238,341,89,122,106,18,6
S01008239,331,141,104,74,11,1
S01008240,358,273,59,20,6,0
S01008241,271,231,30,6,3,1
S01008242,430,202,114,100,13,1
S01008243,361,222,79,39,16,5
S01008244,255,148,62,36,9,0
S01008245,410,239,99,56,16,0
S01008246,353,254,50,39,10,0
S01008247,319,204,64,33,17,1
S01008248,397,219,88,61,25,4
S01008249,401,260,76,49,11,5
S01008250,447,269,118,41,16,3
S01008251,255,198,40,11,4,2
S01008252,338,246,63,23,5,1
S01008253,370,113,122,103,28,4
S01008254,428,157,109,127,27,8
S01008255,292,142,90,43,9,8
S01008256,361,114,87,118,33,9
S01008257,357,102,105,123,20,7
S01008258,401,172,126,86,15,2
S01008259,376,158,86,98,33,1
S01008260,355,109,102,106,30,8
S01008261,368,107,125,108,22,6
S01008262,252,138,58,46,8,2
S01008263,284,125,95,58,4,2
S01008264,330,119,80,111,18,2
S01008265,332,211,86,27,7,1
S01008266,319,250,49,15,4,1
S01008267,350,202,87,49,12,0
S01008268,355,255,59,26,13,2
S01008269,400,250,78,62,8,2
S01008270,394,228,102,52,11,1
S01008271,386,102,94,124,59,7
S01008272,414,241,100,58,12,3
S01008273,346,229,63,40,12,2
S01008274,322,123,111,69,18,1
S01008275,258,140,65,44,6,3
S01008276,199,139,34,18,7,1
S01008277,213,141,42,21,7,2
S01008278,334,247,62,18,6,1
S01008279,331,163,97,52,13,6
S01008280,425,206,92,83,34,10
S01008281,316,184,70,53,6,3
S01008282,299,165,77,44,9,4
S01008283,184,137,30,10,5,2
S01008284,348,183,102,53,8,2
S01008285,355,84,159,90,17,5
S01008286,303,124,83,67,23,6
S01008287,311,149,69,69,19,5
S01008288,413,209,103,74,21,6
S01008289,319,82,90,112,30,5
S01008290,397,151,102,107,31,6
S01008291,369,152,139,68,9,1
S01008292,310,103,87,92,18,10
S01008293,199,176,17,4,2,0
S01008294,326,225,44,43,11,3
S01008295,380,183,116,59,11,11
S01008296,320,98,72,109,33,8
S01008297,295,161,74,47,12,1
S01008298,303,141,89,52,20,1
S01008299,370,88,106,121,45,10
S01008300,377,135,107,102,25,8
S01008301,316,180,68,56,10,2
S01008302,300,242,37,18,2,1
S01008303,272,93,69,88,20,2
S01008304,212,105,52,45,7,3
S01008305,315,164,85,62,2,2
S01008306,239,128,73,33,5,0
S01008307,216,121,56,30,7,2
S01008308,238,164,53,15,6,0
S01008309,372,77,108,129,50,8
S01008310,467,128,159,136,35,9
S01008311,172,43,66,53,9,1
S01008312,171,65,63,34,6,3
S01008313,403,88,132,127,48,8
S01008314,311,34,78,140,44,15
S01008315,450,51,110,229,51,9
S01008316,265,45,83,114,18,5
S01008317,316,86,104,98,22,6
S01008318,368,230,85,40,10,3
S01008319,373,88,130,119,26,10
S01008320,308,153,84,65,3,3
S01008321,195,130,42,18,5,0
S01008322,501,141,161,148,43,8
S01008323,324,90,102,89,36,7
S01008324,254,91,70,69,19,5
S01008325,291,90,82,85,27,7
S01008326,455,102,156,143,44,10
S01008327,386,106,133,86,48,13
S01008328,242,162,46,26,5,3
S01008329,291,191,65,27,5,3
S01008330,290,168,68,46,5,3
S01008331,246,92,79,54,19,2
S01008332,378,215,74,73,11,5
S01008333,454,283,70,91,8,2
S01008334,321,183,101,30,4,3
S01008335,330,142,73,90,23,2
S01008336,268,110,66,50,38,4
S01008337,365,168,82,97,17,1
S01008338,262,198,39,14,9,2
S01008339,227,135,57,28,6,1
S01008340,313,156,77,64,13,3
S01008341,204,169,28,5,1,1
S01008342,327,171,63,57,32,4
S01008343,328,298,25,3,2,0
S01008344,355,257,74,21,2,1
S01008345,350,315,18,10,4,3
S01008346,359,321,25,7,3,3
S01008347,489,256,106,104,19,4
S01008348,326,207,75,36,7,1
S01008349,313,260,39,7,3,4
S01008350,257,203,36,11,6,1
S01008351,347,269,53,20,5,0
S01008352,248,212,22,12,0,2
S01008353,198,154,25,12,5,2
S01008354,286,186,44,39,13,4
S01008355,299,113,76,82,25,3
S01008356,259,106,78,58,16,1
S01008357,296,166,65,55,10,0
S01008358,346,115,110,88,24,9
S01008359,250,141,73,28,6,2
S01008360,319,222,71,21,4,1
S01008361,201,119,50,26,6,0
S01008362,409,153,110,107,34,5
S01008363,320,177,50,49,37,7
S01008364,322,196,75,39,12,0
S01008365,288,224,42,21,1,0
S01008366,424,132,152,107,27,6
S01008367,368,87,105,136,33,7
S01008368,311,111,132,53,13,2
S01008369,235,101,68,55,10,1
S01008370,300,123,104,52,20,1
S01008371,302,189,74,32,5,2
S01008372,288,153,85,40,7,3
S01008373,269,181,58,22,6,2
S01008374,264,166,64,30,4,0
S01008375,285,218,54,10,3,0
S01008376,212,113,49,35,11,4
S01008377,291,172,66,44,8,1
S01008378,421,235,89,80,14,3
S01008379,206,158,30,13,4,1
S01008380,238,196,32,8,1,1
S01008381,229,181,41,7,0,0
S01008382,248,189,47,7,4,1
S01008383,181,135,29,15,1,1
S01008384,387,185,118,61,20,3
S01008385,252,203,40,5,3,1
S01008386,337,106,143,69,17,2
S01008387,241,76,103,45,15,2
S01008388,243,74,87,68,14,0
S01008389,312,164,101,35,11,1
S01008390,255,214,27,13,1,0
S01008391,349,186,84,56,19,4
S01008392,330,227,60,38,4,1
S01008393,369,227,92,43,7,0
S01008394,276,223,39,11,2,1
S01008395,189,98,58,28,5,0
S01008396,303,138,122,31,9,3
S01008397,346,266,55,18,5,2
S01008398,238,154,37,37,8,2
S01008399,257,184,57,12,1,3
S01008400,261,194,44,18,4,1
S01008401,404,239,96,52,14,3
S01008402,415,357,40,11,5,2
S01008403,218,171,34,9,3,1
S01008404,349,240,82,18,8,1
S01008405,266,225,31,8,1,1
S01008406,451,203,65,139,35,9
S01008407,284,97,75,81,15,16
S01008408,265,104,83,50,27,1
S01008409,390,124,122,90,49,5
S01008410,269,116,81,57,15,0
S01008411,247,104,85,38,17,3
S01008412,274,135,79,40,17,3
S01008413,222,84,61,57,17,3
S01008414,152,114,24,10,4,0
S01008415,347,115,132,71,22,7
S01008416,437,102,142,148,41,4
S01008417,299,189,77,26,6,1
S01008418,312,144,126,40,2,0
S01008419,193,113,34,33,13,0
S01008420,190,109,47,32,2,0
S01008421,394,104,166,100,17,7
S01008422,241,187,18,29,7,0
S01008423,398,311,50,29,7,1
S01008424,338,309,13,13,3,0
S01008425,409,261,97,41,9,1
S01008426,264,86,96,66,16,0
S01008427,397,201,131,51,13,1
S01008428,316,103,120,72,19,2
S01008429,352,243,79,22,7,1
S01008430,276,175,54,32,12,3
S01008431,352,232,66,35,11,8
S01008432,293,224,37,24,7,1
S01008433,348,177,113,51,7,0
S01008434,322,209,71,33,7,2
S01008435,301,216,52,27,2,4
S01008436,356,215,85,46,10,0
S01008437,367,137,87,114,26,3
S01008438,189,104,36,23,25,1
S01008439,434,342,42,34,14,2
S01008440,403,323,53,20,5,2
S01008441,186,152,28,3,2,1
S01008442,303,179,72,42,7,3
S01008443,252,196,33,19,4,0
S01008444,260,137,71,37,12,3
S01008445,403,117,89,139,48,10
S01008446,323,264,42,12,5,0
S01008447,286,210,45,24,6,1
S01008448,315,199,73,32,8,3
S01008449,351,73,93,144,28,13
S01008450,256,34,102,84,26,10
S01008451,325,56,77,137,42,13
S01008452,271,51,50,120,32,18
S01008453,215,28,35,76,66,10
S01008454,393,59,98,184,41,11
S01008455,501,66,162,206,46,21
S01008456,528,43,219,179,66,21
S01008457,353,39,117,151,29,17
S01008458,428,102,146,141,21,18
S01008459,393,76,84,188,32,13
S01008460,368,53,101,169,34,11
S01008461,450,49,148,193,45,15
S01008462,349,30,163,123,23,10
S01008463,355,42,97,168,35,13
S01008464,413,88,168,117,36,4
S01008465,346,60,167,91,19,9
S01008466,318,47,141,99,20,11
S01008467,330,104,126,83,11,6
S01008468,232,77,76,56,16,7
S01008469,229,95,62,48,16,8
S01008470,298,73,95,87,28,15
S01008471,347,68,101,125,44,9
S01008472,277,69,92,79,31,6
S01008473,307,74,95,102,26,10
S01008474,440,45,157,189,35,14
S01008475,327,12,158,119,25,13
S01008476,406,15,195,157,37,2
S01008477,465,16,198,203,33,15
S01008478,439,53,134,194,40,18
S01008479,407,22,224,123,28,10
S01008480,279,25,113,95,30,16
S01008481,373,142,108,96,18,9
S01008482,316,47,119,122,21,7
S01008483,327,51,124,126,20,6
S01008484,342,128,123,68,18,5
S01008485,408,147,139,93,22,7
S01008486,459,108,151,144,41,15
S01008487,417,57,87,171,90,12
S01008488,416,53,176,141,40,6
S01008489,305,68,121,96,11,9
S01008490,528,53,173,193,93,16
S01008491,487,54,214,154,49,16
S01008492,515,49,167,219,72,8
S01008493,420,83,101,147,74,15
S01008494,409,29,77,205,81,17
S01008495,589,12,94,256,201,26
S01008496,676,20,123,272,231,30
S01008497,572,31,53,289,166,33
S01008498,525,20,92,208,196,9
S01008499,591,34,112,229,187,29
S01008500,209,13,46,98,38,14
S01008501,316,22,117,135,37,5
S01008502,373,35,111,154,54,19
S01008503,443,86,172,126,52,7
S01008504,543,181,154,159,41,8
S01008505,330,134,111,69,12,4
S01008506,442,160,116,127,35,4
S01008507,386,92,144,121,26,3
S01008508,358,231,83,38,5,1
S01008509,509,255,152,77,21,4
S01008510,390,234,103,36,13,4
S01008511,358,285,51,18,3,1
S01008512,201,162,30,7,1,1
S01008513,258,215,26,10,5,2
S01008514,397,236,91,59,9,2
S01008515,297,172,66,42,15,2
S01008516,592,50,167,246,117,12
S01008517,463,75,189,156,38,5
S01008518,378,221,79,58,19,1
S01008519,324,234,42,31,16,1
S01008520,433,377,39,9,4,4
S01008521,338,299,29,7,2,1
S01008522,228,154,51,20,3,0
S01008523,434,256,126,42,7,3
S01008524,442,56,167,155,42,22
S01008525,380,72,141,137,25,5
S01008526,448,76,223,117,26,6
S01008527,333,85,150,70,24,4
S01008528,304,93,119,69,16,7
S01008529,349,119,124,79,20,7
S01008530,369,40,168,105,42,14
S01008531,394,80,134,142,34,4
S01008532,213,60,54,84,10,5
S01008533,179,76,56,38,8,1
S01008534,274,156,69,40,7,2
S01008535,284,193,68,20,1,2
S01008536,263,178,61,21,3,0
S01008537,280,244,23,10,2,1
S01008538,242,216,18,7,1,0
S01008539,346,277,58,9,0,2
S01008540,373,287,61,22,2,1
S01008541,323,190,92,35,5,1
S01008542,337,248,53,25,8,3
S01008543,259,146,75,34,4,0
S01008544,216,166,22,15,2,11
S01008545,334,277,39,11,7,0
S01008546,337,300,28,5,1,3
S01008547,424,208,141,60,10,5
S01008548,347,130,120,75,18,4
S01008549,439,180,119,91,32,17
S01008550,346,175,64,88,17,2
S01008551,496,138,226,97,30,5
S01008552,383,223,96,50,10,4
S01008553,244,141,62,23,13,5
S01008554,368,103,83,115,45,22
S01008555,528,53,190,202,65,18
S01008556,346,96,110,94,35,11
S01008557,429,83,127,160,46,13
S01008558,433,83,144,147,43,16
S01008559,295,81,111,72,20,11
S01008560,295,65,109,86,23,12
S01008561,277,74,95,61,41,6
S01008562,344,41,97,157,34,15
S01008563,369,74,126,115,44,10
S01008564,315,48,119,122,18,8
S01008565,414,91,132,145,32,14
S01008566,433,118,145,103,47,20
S01008567,289,93,87,75,26,8
S01008568,350,108,115,99,20,8
S01008569,400,24,153,151,45,27
S01008570,426,72,139,143,46,26
S01008571,323,113,112,83,11,4
S01008572,346,146,137,48,14,1
S01008573,321,198,61,40,19,3
S01008574,293,185,56,43,6,3
S01008575,335,245,58,24,7,1
S01008576,386,172,132,64,14,4
S01008577,363,226,90,36,7,4
S01008578,291,258,25,5,2,1
S01008579,301,215,56,20,9,1
S01008580,261,93,89,64,12,3
S01008581,464,70,179,164,37,14
S01008582,486,137,154,150,30,15
S01008583,352,71,134,104,31,12
S01008584,394,104,126,123,29,12
S01008585,249,89,86,48,18,8
S01008586,360,84,138,85,42,11
S01008587,316,214,55,35,11,1
S01008588,344,197,94,37,12,4
S01008589,172,90,35,43,4,0
S01008590,413,96,177,122,18,0
S01008591,327,141,90,74,16,6
S01008592,356,80,152,91,26,7
S01008593,309,252,35,16,3,3
S01008594,428,259,83,62,23,1
S01008595,508,88,99,231,77,13
S01008596,455,33,193,160,46,23
S01008597,388,227,106,42,12,1
S01008598,329,87,90,100,36,16
S01008599,366,191,72,70,24,9
S01008600,306,168,49,58,21,10
S01008601,314,78,64,94,69,9
S01008602,323,36,124,115,39,9
S01008603,544,46,122,236,115,25
S01008604,418,126,117,124,40,11
S01008605,337,88,94,100,48,7
S01008606,287,183,57,31,14,2
S01008607,283,206,24,40,13,0
S01008608,326,213,74,27,11,1
S01008609,410,251,79,57,18,5
S01008610,416,159,74,148,30,5
S01008611,592,103,130,244,99,16
S01008612,376,33,103,164,61,15
S01008613,371,111,78,132,42,8
S01008614,307,64,75,104,56,8
S01008615,331,97,74,98,53,9
S01008616,259,58,59,64,71,7
S01008617,281,93,59,68,55,6
S01008618,267,62,61,74,54,16
S01008619,203,78,42,45,32,6
S01008620,290,96,63,77,44,10
S01008621,272,78,61,86,42,5
S01008622,200,84,48,46,15,7
S01008623,343,131,101,58,47,6
S01008624,346,188,83,47,21,7
S01008625,239,187,27,17,7,1
S01008626,388,215,98,49,23,3
S01008627,256,199,36,14,7,0
S01008628,262,116,59,61,25,1
S01008629,301,125,92,51,27,6
S01008630,277,60,100,91,20,6
S01008631,453,91,146,134,64,18
S01008632,420,83,125,161,45,6
S01008633,452,271,96,68,15,2
S01008634,276,162,53,41,14,6
S01008635,362,189,86,65,16,6
S01008636,367,179,82,78,19,9
S01008637,309,145,83,46,20,15
S01008638,344,93,83,111,52,5
S01008639,430,95,113,161,54,7
S01008640,351,68,130,109,42,2
S01008641,351,100,99,97,46,9
S01008642,433,117,161,102,49,4
S01008643,323,105,108,77,21,12
S01008644,386,60,123,142,47,14
S01008645,360,59,148,104,37,12
S01008646,453,70,133,158,87,5
S01008647,330,38,114,134,36,8
S01008648,339,15,90,163,62,9
S01008649,560,6,82,286,162,24
S01008650,470,22,81,181,163,23
S01008651,497,20,55,220,181,21
S01008652,387,27,53,126,168,13
S01008653,402,15,84,156,131,16
S01008654,585,11,106,245,200,23
S01008655,442,37,122,171,94,18
S01008656,426,16,67,134,184,25
S01008657,361,41,130,160,25,5
S01008658,555,35,138,259,99,24
S01008659,446,26,86,195,126,13
S01008660,444,76,112,159,66,31
S01008661,437,50,93,161,111,22
S01008662,276,12,45,156,55,8
S01008663,434,36,85,177,105,31
S01008664,396,40,105,179,64,8
S01008665,524,49,122,210,120,23
S01008666,311,65,58,107,64,17
S01008667,308,83,86,86,45,8
S01008668,280,18,60,133,54,15
S01008669,173,20,31,71,41,10
S01008670,260,41,42,106,62,9
S01008671,331,25,75,153,55,23
S01008672,341,37,59,161,69,15
S01008673,649,49,123,241,193,43
S01008674,413,21,82,181,95,34
S01008675,476,47,63,187,132,47
S01008676,338,71,84,131,46,6
S01008677,420,29,85,174,112,20
S01008678,393,13,77,178,115,10
S01008679,546,27,78,251,132,58
S01008680,326,15,67,133,92,19
S01008681,540,21,103,282,112,22
S01008682,431,23,88,193,103,24
S01008683,576,35,145,249,120,27
S01008684,532,44,141,255,72,20
S01008685,489,46,139,216,71,17
S01008686,585,40,114,308,101,22
S01008687,419,13,106,170,114,16
S01008688,457,71,117,169,80,20
S01008689,548,42,110,274,105,17
S01008690,598,60,170,260,101,7
S01008691,678,38,180,290,149,21
S01008692,391,26,90,187,74,14
S01008693,224,66,100,46,9,3
S01008694,537,72,194,177,79,15
S01008695,338,107,115,90,17,9
S01008696,285,154,89,28,13,1
S01008697,453,255,114,66,15,3
S01008698,209,134,43,26,4,2
S01008699,470,79,181,163,36,11
S01008700,248,160,46,30,10,2
S01008701,200,32,45,77,36,10
S01008702,312,16,69,128,84,15
S01008703,456,70,162,159,47,18
S01008704,307,101,87,77,32,10
S01008705,236,39,76,91,18,12
S01008706,243,25,59,111,36,12
S01008707,387,56,109,154,41,27
S01008708,452,56,165,174,38,19
S01008709,299,64,93,91,39,12
S01008710,208,20,61,87,33,7
S01008711,353,50,123,129,36,15
S01008712,499,74,146,201,57,21
S01008713,292,24,117,109,32,10
S01008714,297,65,119,80,27,6
S01008715,367,81,130,114,30,12
S01008716,295,41,114,112,22,6
S01008717,181,62,69,39,10,1
S01008718,222,73,59,69,12,9
S01008719,420,104,143,140,29,4
S01008720,243,67,73,70,28,5
S01008721,310,174,85,40,9,2
S01008722,480,280,63,112,22,3
S01008723,257,148,56,35,12,6
S01008724,400,223,90,53,28,6
S01008725,343,161,110,49,19,4
S01008726,241,158,59,22,2,0
S01008727,454,188,143,95,22,6
S01008728,229,61,70,65,28,5
S01008729,277,151,64,41,20,1
S01008730,411,76,142,113,70,10
S01008731,226,50,91,59,23,3
S01008732,340,51,98,121,53,17
S01008733,473,67,128,163,96,19
S01008734,266,118,78,52,14,4
S01008735,385,291,65,22,6,1
S01008736,290,186,59,36,3,6
S01008737,339,229,68,27,11,4
S01008738,299,213,62,16,3,5
S01008739,240,89,85,47,17,2
S01008740,227,115,71,33,4,4
S01008741,395,209,122,44,19,1
S01008742,280,55,107,104,11,3
S01008743,485,78,173,172,46,16
S01008744,519,97,238,128,46,10
S01008745,241,99,96,34,7,5
S01008746,572,78,213,188,80,13
S01008747,234,110,82,31,9,2
S01008748,283,195,64,15,5,4
S01008749,402,261,90,33,16,2
S01008750,313,217,65,22,9,0
S01008751,304,90,119,70,15,10
S01008752,459,24,210,177,38,10
S01008753,314,20,109,141,36,8
S01008754,362,16,156,162,23,5
S01008755,541,28,165,249,82,17
S01008756,418,37,142,175,49,15
S01008757,397,16,124,196,42,19
S01008758,444,37,199,150,41,17
S01008759,322,21,139,112,45,5
S01008760,500,54,167,206,59,14
S01008761,295,36,106,99,46,8
S01008762,301,52,128,86,31,4
S01008763,433,142,150,104,31,6
S01008764,306,128,87,65,24,2
S01008765,393,116,117,122,32,6
S01008766,413,221,100,65,25,2
S01008767,266,67,105,54,32,8
S01008768,256,41,81,81,45,8
S01008769,380,37,96,161,81,5
S01008770,431,64,104,163,77,23
S01008771,411,79,161,118,46,7
S01008772,395,110,135,96,43,11
S01008773,596,54,185,215,122,20
S01008774,495,55,145,204,71,20
S01008775,218,77,55,54,23,9
S01008776,467,47,107,181,112,20
S01008777,637,34,228,256,103,16
S01008778,664,44,251,236,119,14
S01008779,402,86,187,88,37,4
S01008780,329,26,111,139,45,8
S01008781,530,25,134,212,133,26
S01008782,400,50,132,150,46,22
S01008783,236,26,61,109,36,4
S01008784,268,26,82,117,38,5
S01008785,485,34,177,188,64,22
S01008786,540,51,154,206,116,13
S01008787,200,15,87,67,20,11
S01008788,376,14,98,155,88,21
S01008789,375,41,98,149,74,13
S01008790,353,38,88,141,65,21
S01008791,421,47,132,158,65,19
S01008792,415,66,115,160,60,14
S01008793,266,9,48,112,81,16
S01008794,492,27,137,234,69,25
S01008795,618,60,172,220,146,20
S01008796,622,34,146,268,138,36
S01008797,579,34,131,264,133,17
S01008798,502,18,129,224,115,16
S01008799,322,16,53,131,89,33
S01008800,651,7,101,249,251,43
S01008801,582,16,132,281,133,20
S01008802,614,25,133,236,192,28
S01008803,575,36,130,208,177,24
S01008804,332,13,43,138,118,20
S01008805,334,36,116,138,33,11
S01008806,558,26,176,235,100,21
S01008807,490,36,124,222,97,11
S01008808,391,58,107,178,41,7
S01008809,324,114,82,79,45,4
S01008810,383,67,144,138,30,4
S01008811,389,94,112,124,41,18
S01008812,260,38,102,75,40,5
S01008813,508,63,144,188,89,24
S01008814,403,113,94,127,56,13
S01008815,557,23,127,241,139,27
S01008816,321,14,68,164,63,12
S01008817,425,25,122,191,75,12
S01008818,371,77,103,124,59,8
S01008819,368,89,123,128,27,1
S01008820,616,59,162,248,129,18
S01008821,271,154,48,41,23,5
S01008822,286,186,61,29,9,1
S01008823,269,153,85,21,7,3
S01008824,510,175,184,118,29,4
S01008825,296,128,103,50,13,2
S01008826,378,88,97,91,87,15
S01008827,273,220,33,15,5,0
S01008828,439,228,74,71,56,10
S01008829,297,140,99,43,12,3
S01008830,334,178,87,48,17,4
S01008831,359,229,104,20,4,2
S01008832,350,171,106,63,8,2
S01008833,526,193,134,161,36,2
S01008834,519,241,179,81,14,4
S01008835,407,137,188,65,15,2
S01008836,413,30,170,150,50,13
S01008837,630,65,181,190,172,22
S01008838,606,86,202,180,120,18
S01008839,549,114,157,192,76,10
S01008840,510,151,198,98,57,6
S01008841,291,59,122,83,20,7
S01008842,433,72,178,132,35,16
S01008843,464,53,177,170,51,13
S01008844,355,53,126,107,61,8
S01008845,420,118,121,133,37,11
S01008846,386,93,129,124,32,8
S01008847,263,95,64,74,25,5
S01008848,384,157,82,113,28,4
S01008849,396,141,106,90,48,11
S01008850,401,186,104,80,30,1
S01008851,634,139,140,164,133,58
S01008852,503,285,108,81,23,6
S01008853,352,91,118,103,36,4
S01008854,483,160,135,132,44,12
S01008855,620,182,199,174,55,10
S01008856,296,65,82,98,41,10
S01008857,434,107,108,179,37,3
S01008858,328,103,88,116,17,4
S01008859,712,102,215,277,106,12
S01008860,500,104,163,163,62,8
S01008861,349,219,82,34,10,4
S01008862,561,105,146,215,83,12
S01008863,392,121,123,123,23,2
S01008864,410,101,171,121,14,3
S01008865,455,201,144,90,17,3
S01008866,467,124,165,147,28,3
S01008867,421,207,136,65,12,1
S01008868,391,81,114,121,65,10
S01008869,615,212,193,146,60,4
S01008870,426,197,97,83,44,5
S01008871,503,213,142,99,45,4
S01008872,401,135,141,98,25,2
S01008873,334,171,91,53,17,2
S01008874,514,127,211,144,26,6
S01008875,502,52,172,203,61,14
S01008876,291,139,76,72,4,0
S01008877,243,158,52,26,5,2
S01008878,459,155,205,76,20,3
S01008879,411,122,188,87,10,4
S01008880,291,128,111,44,7,1
S01008881,264,192,34,29,8,1
S01008882,401,297,72,22,8,2
S01008883,362,325,25,8,3,1
S01008884,316,276,27,12,0,1
S01008885,345,302,26,10,6,1
S01008886,425,188,152,64,21,0
S01008887,358,211,101,37,7,2
S01008888,373,59,158,138,17,1
S01008889,267,105,64,69,29,0
S01008890,308,199,69,26,10,4
S01008891,329,232,57,33,6,1
S01008892,533,182,175,142,28,6
S01008893,353,296,41,13,3,0
S01008894,337,269,52,13,3,0
S01008895,301,228,48,17,4,4
S01008896,208,147,28,27,6,0
S01008897,304,179,59,51,11,4
S01008898,331,281,28,15,3,4
S01008899,389,71,163,99,43,13
S01008900,415,76,183,117,36,3
S01008901,374,113,124,101,30,6
S01008902,485,96,182,142,51,14
S01008903,463,113,184,125,35,6
S01008904,431,113,142,107,54,15
S01008905,510,84,206,137,63,20
S01008906,386,58,145,124,40,19
S01008907,249,40,62,80,51,16
S01008908,421,51,175,140,38,17
S01008909,347,56,162,102,23,4
S01008910,211,69,73,58,11,0
S01008911,432,52,121,191,62,6
S01008912,333,130,129,60,11,3
S01008913,272,110,91,49,17,5
S01008914,398,121,167,77,26,7
S01008915,236,116,67,39,11,3
S01008916,593,50,233,243,45,22
S01008917,379,28,141,158,45,7
S01008918,293,14,125,118,28,8
S01008919,264,22,103,103,27,9
S01008920,586,86,153,224,104,19
S01008921,375,46,158,115,45,11
S01008922,400,57,151,144,41,7
S01008923,394,36,174,142,34,8
S01008924,372,51,85,185,35,16
S01008925,266,83,76,86,14,7
S01008926,242,64,93,67,14,4
S01008927,416,15,116,185,92,8
S01008928,298,75,85,92,38,8
S01008929,475,27,188,193,52,15
S01008930,427,55,129,165,56,22
S01008931,339,54,101,122,49,13
S01008932,404,68,104,147,66,19
S01008933,289,32,81,121,36,19
S01008934,354,65,153,104,26,6
S01008935,377,212,95,54,12,4
S01008936,157,122,26,9,0,0
S01008937,424,137,132,114,35,6
S01008938,285,207,49,24,5,0
S01008939,323,242,52,17,8,4
S01008940,255,209,30,15,1,0
S01008941,350,265,55,23,4,3
S01008942,333,170,74,71,16,2
S01008943,340,304,21,11,3,1
S01008944,429,326,63,30,10,0
S01008945,299,257,30,7,3,2
S01008946,397,294,66,25,11,1
S01008947,449,325,82,31,7,4
S01008948,285,172,72,32,9,0
S01008949,393,119,135,111,23,5
S01008950,420,121,173,92,26,8
S01008951,435,64,184,131,40,16
S01008952,421,53,176,138,39,15
S01008953,424,131,155,98,29,11
S01008954,434,91,151,156,27,9
S01008955,282,143,64,48,24,3
S01008956,406,118,125,112,43,8
S01008957,429,190,105,107,14,13
S01008958,404,89,92,153,52,18
S01008959,380,123,126,93,31,7
S01008960,328,214,48,42,21,3
S01008961,319,105,83,92,36,3
S01008962,275,114,114,39,8,0
S01008963,349,229,82,32,4,2
S01008964,211,157,35,17,0,2
S01008965,321,252,36,21,10,2
S01008966,252,159,64,26,3,0
S01008967,430,324,71,29,6,0
S01008968,398,275,79,35,8,1
S01008969,460,259,114,61,25,1
S01008970,438,289,75,59,11,4
S01008971,273,220,36,16,1,0
S01008972,304,240,41,18,3,2
S01008973,361,170,70,80,32,9
S01008974,374,148,105,93,22,6
S01008975,449,70,151,173,45,10
S01008976,212,147,46,12,7,0
S01008977,256,180,43,22,10,1
S01008978,252,49,125,55,15,8
S01008979,308,39,140,111,15,3
S01008980,334,67,133,99,33,2
S01008981,316,184,90,34,5,3
S01008982,352,75,149,99,19,10
S01008983,314,24,154,105,26,5
S01008984,227,33,106,72,13,3
S01008985,326,59,157,89,19,2
S01008986,343,170,115,43,11,4
S01008987,330,176,93,44,12,5
S01008988,481,115,175,149,32,10
S01008989,323,37,85,137,56,8
S01008990,383,41,115,154,67,6
S01008991,381,173,119,70,15,4
S01008992,270,85,89,78,15,3
S01008993,476,218,141,93,19,5
S01008994,337,108,117,82,20,10
S01008995,352,209,87,35,14,7
S01008996,251,86,87,66,8,4
S01008997,411,210,121,63,14,3
S01008998,236,80,52,79,22,3
S01008999,411,152,126,105,20,8
S01009000,393,226,102,49,13,3
S01009001,323,232,51,34,4,2
S01009002,348,198,83,55,11,1
S01009003,394,236,92,55,11,0
S01009004,270,134,85,40,8,3
S01009005,327,117,113,78,17,2
S01009006,318,115,105,76,14,8
S01009007,290,96,91,79,20,4
S01009008,445,245,122,64,11,3
S01009009,252,49,95,89,15,4
S01009010,404,214,90,78,19,3
S01009011,319,179,90,41,7,2
S01009012,296,161,77,45,8,5
S01009013,363,211,95,42,9,6
