Data zone code,Data zone name,Council area code,Council area name,Total population,Age0-4,Age75+
S01006506,Culter - 01,S12000033,Aberdeen City,863,36,69
S01006507,Culter - 02,S12000033,Aberdeen City,782,43,80
S01006508,Culter - 03,S12000033,Aberdeen City,600,23,22
S01006509,Culter - 04,S12000033,Aberdeen City,501,22,40
S01006510,Culter - 05,S12000033,Aberdeen City,620,14,102
S01006511,Culter - 06,S12000033,Aberdeen City,762,25,106
S01006512,Culter - 07,S12000033,Aberdeen City,644,25,50
S01006513,"Cults, Bieldside and Milltimber West - 01",S12000033,Aberdeen City,"1,007",48,185
S01006514,"Cults, Bieldside and Milltimber West - 02",S12000033,Aberdeen City,"1,273",42,148
S01006515,"Cults, Bieldside and Milltimber West - 03",S12000033,Aberdeen City,839,49,52
S01006516,"Cults, Bieldside and Milltimber West - 04",S12000033,Aberdeen City,650,12,61
S01006517,"Cults, Bieldside and Milltimber West - 05",S12000033,Aberdeen City,"1,739",137,105
S01006518,"Cults, Bieldside and Milltimber East - 01",S12000033,Aberdeen City,684,23,81
S01006519,"Cults, Bieldside and Milltimber East - 02",S12000033,Aberdeen City,955,22,87
S01006520,"Cults, Bieldside and Milltimber East - 03",S12000033,Aberdeen City,854,24,27
S01006521,"Cults, Bieldside and Milltimber East - 04",S12000033,Aberdeen City,818,23,40
S01006522,"Cults, Bieldside and Milltimber East - 05",S12000033,Aberdeen City,735,37,43
S01006523,"Cults, Bieldside and Milltimber East - 06",S12000033,Aberdeen City,"1,021",47,126
S01006524,"Cults, Bieldside and Milltimber East - 07",S12000033,Aberdeen City,"1,114",25,164
S01006525,"Cults, Bieldside and Milltimber East - 08",S12000033,Aberdeen City,890,23,133
S01006526,Garthdee - 01,S12000033,Aberdeen City,956,48,80
S01006527,Garthdee - 02,S12000033,Aberdeen City,830,55,50
S01006528,Garthdee - 03,S12000033,Aberdeen City,"1,193",77,70
S01006529,Garthdee - 04,S12000033,Aberdeen City,948,39,71
S01006530,Garthdee - 05,S12000033,Aberdeen City,781,29,45
S01006531,Garthdee - 06,S12000033,Aberdeen City,910,45,71
S01006532,"Braeside, Mannofield, Broomhill and Seafield East - 01",S12000033,Aberdeen City,779,28,156
S01006533,"Braeside, Mannofield, Broomhill and Seafield East - 02",S12000033,Aberdeen City,700,38,67
S01006534,"Braeside, Mannofield, Broomhill and Seafield East - 03",S12000033,Aberdeen City,961,34,64
S01006535,"Braeside, Mannofield, Broomhill and Seafield East - 04",S12000033,Aberdeen City,"1,011",36,52
S01006536,"Braeside, Mannofield, Broomhill and Seafield East - 05",S12000033,Aberdeen City,994,24,48
S01006537,"Braeside, Mannofield, Broomhill and Seafield South - 01",S12000033,Aberdeen City,934,49,182
S01006538,"Braeside, Mannofield, Broomhill and Seafield South - 02",S12000033,Aberdeen City,547,19,64
S01006539,"Braeside, Mannofield, Broomhill and Seafield South - 03",S12000033,Aberdeen City,784,40,122
S01006540,"Braeside, Mannofield, Broomhill and Seafield South - 04",S12000033,Aberdeen City,878,40,71
S01006541,"Braeside, Mannofield, Broomhill and Seafield South - 05",S12000033,Aberdeen City,879,41,142
S01006542,"Braeside, Mannofield, Broomhill and Seafield North - 01",S12000033,Aberdeen City,"1,201",64,151
S01006543,"Braeside, Mannofield, Broomhill and Seafield North - 02",S12000033,Aberdeen City,788,38,95
S01006544,"Braeside, Mannofield, Broomhill and Seafield North - 03",S12000033,Aberdeen City,"1,375",58,150
S01006545,"Braeside, Mannofield, Broomhill and Seafield North - 04",S12000033,Aberdeen City,"1,108",38,137
S01006546,"Braeside, Mannofield, Broomhill and Seafield North - 05",S12000033,Aberdeen City,615,28,81
S01006547,Hazlehead - 01,S12000033,Aberdeen City,"2,007",174,135
S01006548,Hazlehead - 02,S12000033,Aberdeen City,696,31,110
S01006549,Hazlehead - 03,S12000033,Aberdeen City,784,41,75
S01006550,Hazlehead - 04,S12000033,Aberdeen City,928,36,131
S01006551,Hazlehead - 05,S12000033,Aberdeen City,668,31,74
S01006552,Hazlehead - 06,S12000033,Aberdeen City,891,42,71
S01006553,Summerhill - 01,S12000033,Aberdeen City,877,33,121
S01006554,Summerhill - 02,S12000033,Aberdeen City,781,30,80
S01006555,Summerhill - 03,S12000033,Aberdeen City,702,39,39
S01006556,Summerhill - 04,S12000033,Aberdeen City,714,33,80
S01006557,Summerhill - 05,S12000033,Aberdeen City,631,34,41
S01006558,Midstocket - 01,S12000033,Aberdeen City,549,20,55
S01006559,Midstocket - 02,S12000033,Aberdeen City,589,17,38
S01006560,Midstocket - 03,S12000033,Aberdeen City,979,36,76
S01006561,Midstocket - 04,S12000033,Aberdeen City,746,48,60
S01006562,Midstocket - 05,S12000033,Aberdeen City,997,41,79
S01006563,Midstocket - 06,S12000033,Aberdeen City,653,43,48
S01006564,Rosemount - 01,S12000033,Aberdeen City,939,18,56
S01006565,Rosemount - 02,S12000033,Aberdeen City,876,31,25
S01006566,Rosemount - 03,S12000033,Aberdeen City,777,34,34
S01006567,Rosemount - 04,S12000033,Aberdeen City,682,13,36
S01006568,Rosemount - 05,S12000033,Aberdeen City,849,26,15
S01006569,Rosemount - 06,S12000033,Aberdeen City,512,23,28
S01006570,Rosemount - 07,S12000033,Aberdeen City,749,39,46
S01006571,West End North - 01,S12000033,Aberdeen City,912,33,51
S01006572,West End North - 02,S12000033,Aberdeen City,983,42,92
S01006573,West End North - 03,S12000033,Aberdeen City,782,31,38
S01006574,West End North - 04,S12000033,Aberdeen City,"1,067",39,94
S01006575,West End South - 01,S12000033,Aberdeen City,966,47,55
S01006576,West End South - 02,S12000033,Aberdeen City,705,30,32
S01006577,West End South - 03,S12000033,Aberdeen City,756,35,35
S01006578,West End South - 04,S12000033,Aberdeen City,"1,034",36,27
S01006579,West End South - 05,S12000033,Aberdeen City,"1,008",32,19
S01006580,West End South - 06,S12000033,Aberdeen City,673,14,20
S01006581,West End South - 07,S12000033,Aberdeen City,932,44,77
S01006582,City Centre West - 01,S12000033,Aberdeen City,892,28,19
S01006583,City Centre West - 02,S12000033,Aberdeen City,691,14,7
S01006584,City Centre West - 03,S12000033,Aberdeen City,575,11,11
S01006585,City Centre West - 04,S12000033,Aberdeen City,744,22,29
S01006586,City Centre West - 05,S12000033,Aberdeen City,"1,090",21,54
S01006587,City Centre East - 01,S12000033,Aberdeen City,564,14,4
S01006588,City Centre East - 02,S12000033,Aberdeen City,648,22,2
S01006589,City Centre East - 03,S12000033,Aberdeen City,634,19,7
S01006590,City Centre East - 04,S12000033,Aberdeen City,761,20,16
S01006591,Ferryhill North - 01,S12000033,Aberdeen City,681,23,13
S01006592,Ferryhill North - 02,S12000033,Aberdeen City,754,34,18
S01006593,Ferryhill North - 03,S12000033,Aberdeen City,758,25,28
S01006594,Ferryhill North - 04,S12000033,Aberdeen City,484,14,71
S01006595,Ferryhill North - 05,S12000033,Aberdeen City,929,24,18
S01006596,Ferryhill North - 06,S12000033,Aberdeen City,765,30,56
S01006597,Ferryhill North - 07,S12000033,Aberdeen City,496,5,21
S01006598,Ferryhill South - 01,S12000033,Aberdeen City,987,53,65
S01006599,Ferryhill South - 02,S12000033,Aberdeen City,767,13,47
S01006600,Ferryhill South - 03,S12000033,Aberdeen City,"1,249",47,165
S01006601,Ferryhill South - 04,S12000033,Aberdeen City,980,28,66
S01006602,Ferryhill South - 05,S12000033,Aberdeen City,879,43,117
S01006603,"Kincorth, Leggart and Nigg North - 01",S12000033,Aberdeen City,825,44,75
S01006604,"Kincorth, Leggart and Nigg North - 02",S12000033,Aberdeen City,673,39,44
S01006605,"Kincorth, Leggart and Nigg North - 03",S12000033,Aberdeen City,726,52,67
S01006606,"Kincorth, Leggart and Nigg North - 04",S12000033,Aberdeen City,820,30,119
S01006607,"Kincorth, Leggart and Nigg North - 05",S12000033,Aberdeen City,913,59,75
S01006608,"Kincorth, Leggart and Nigg South - 01",S12000033,Aberdeen City,"2,214",210,73
S01006609,"Kincorth, Leggart and Nigg South - 02",S12000033,Aberdeen City,"1,012",65,81
S01006610,"Kincorth, Leggart and Nigg South - 03",S12000033,Aberdeen City,415,20,39
S01006611,"Kincorth, Leggart and Nigg South - 04",S12000033,Aberdeen City,876,46,59
S01006612,"Kincorth, Leggart and Nigg South - 05",S12000033,Aberdeen City,818,37,63
S01006613,Cove South - 01,S12000033,Aberdeen City,573,26,22
S01006614,Cove South - 02,S12000033,Aberdeen City,695,39,22
S01006615,Cove South - 03,S12000033,Aberdeen City,818,41,27
S01006616,Cove South - 04,S12000033,Aberdeen City,722,42,19
S01006617,Cove South - 05,S12000033,Aberdeen City,701,42,49
S01006618,Cove South - 06,S12000033,Aberdeen City,451,14,46
S01006619,Cove North - 01,S12000033,Aberdeen City,865,39,55
S01006620,Cove North - 02,S12000033,Aberdeen City,792,35,75
S01006621,Cove North - 03,S12000033,Aberdeen City,519,22,34
S01006622,Cove North - 04,S12000033,Aberdeen City,622,25,16
S01006623,Cove North - 05,S12000033,Aberdeen City,937,95,53
S01006624,Torry West - 01,S12000033,Aberdeen City,914,37,44
S01006625,Torry West - 02,S12000033,Aberdeen City,568,15,44
S01006626,Torry West - 03,S12000033,Aberdeen City,608,36,38
S01006627,Torry West - 04,S12000033,Aberdeen City,744,18,21
S01006628,Torry West - 05,S12000033,Aberdeen City,939,39,14
S01006629,Torry West - 06,S12000033,Aberdeen City,872,53,118
S01006630,Torry West - 07,S12000033,Aberdeen City,644,41,35
S01006631,Torry East - 01,S12000033,Aberdeen City,968,54,105
S01006632,Torry East - 02,S12000033,Aberdeen City,697,42,34
S01006633,Torry East - 03,S12000033,Aberdeen City,635,32,26
S01006634,Torry East - 04,S12000033,Aberdeen City,554,46,14
S01006635,Torry East - 05,S12000033,Aberdeen City,584,43,48
S01006636,Torry East - 06,S12000033,Aberdeen City,707,66,44
S01006637,Hanover South - 01,S12000033,Aberdeen City,739,23,39
S01006638,Hanover South - 02,S12000033,Aberdeen City,711,23,32
S01006639,Hanover South - 03,S12000033,Aberdeen City,893,32,73
S01006640,Hanover South - 04,S12000033,Aberdeen City,826,33,10
S01006641,Hanover North - 01,S12000033,Aberdeen City,"1,021",38,38
S01006642,Hanover North - 02,S12000033,Aberdeen City,"1,117",26,23
S01006643,Hanover North - 03,S12000033,Aberdeen City,659,21,15
S01006644,Hanover North - 04,S12000033,Aberdeen City,"1,056",52,12
S01006645,George Street - 01,S12000033,Aberdeen City,610,34,24
S01006646,George Street - 02,S12000033,Aberdeen City,653,12,39
S01006647,George Street - 03,S12000033,Aberdeen City,586,30,24
S01006648,George Street - 04,S12000033,Aberdeen City,"1,290",32,21
S01006649,George Street - 05,S12000033,Aberdeen City,906,34,22
S01006650,George Street - 06,S12000033,Aberdeen City,706,20,13
S01006651,George Street - 07,S12000033,Aberdeen City,807,14,38
S01006652,George Street - 08,S12000033,Aberdeen City,827,14,19
S01006653,Ashgrove - 01,S12000033,Aberdeen City,544,32,21
S01006654,Ashgrove - 02,S12000033,Aberdeen City,828,40,38
S01006655,Ashgrove - 03,S12000033,Aberdeen City,"1,052",53,59
S01006656,Ashgrove - 04,S12000033,Aberdeen City,945,48,32
S01006657,Ashgrove - 05,S12000033,Aberdeen City,489,18,7
S01006658,"Froghall, Powis and Sunnybank - 01",S12000033,Aberdeen City,"1,310",83,17
S01006659,"Froghall, Powis and Sunnybank - 02",S12000033,Aberdeen City,527,15,28
S01006660,"Froghall, Powis and Sunnybank - 03",S12000033,Aberdeen City,529,36,8
S01006661,"Froghall, Powis and Sunnybank - 04",S12000033,Aberdeen City,523,18,26
S01006662,"Froghall, Powis and Sunnybank - 05",S12000033,Aberdeen City,664,26,11
S01006663,"Froghall, Powis and Sunnybank - 06",S12000033,Aberdeen City,519,12,8
S01006664,"Froghall, Powis and Sunnybank - 07",S12000033,Aberdeen City,521,13,15
S01006665,"Froghall, Powis and Sunnybank - 08",S12000033,Aberdeen City,745,13,23
S01006666,Seaton - 01,S12000033,Aberdeen City,"1,070",51,60
S01006667,Seaton - 02,S12000033,Aberdeen City,665,36,34
S01006668,Seaton - 03,S12000033,Aberdeen City,751,24,19
S01006669,Seaton - 04,S12000033,Aberdeen City,834,20,48
S01006670,Seaton - 05,S12000033,Aberdeen City,"1,045",12,37
S01006671,Old Aberdeen - 01,S12000033,Aberdeen City,"1,124",12,51
S01006672,Old Aberdeen - 02,S12000033,Aberdeen City,732,40,45
S01006673,Old Aberdeen - 03,S12000033,Aberdeen City,718,34,32
S01006674,Old Aberdeen - 04,S12000033,Aberdeen City,805,45,79
S01006675,Tillydrone - 01,S12000033,Aberdeen City,838,66,11
S01006676,Tillydrone - 02,S12000033,Aberdeen City,725,45,42
S01006677,Tillydrone - 03,S12000033,Aberdeen City,719,34,26
S01006678,Tillydrone - 04,S12000033,Aberdeen City,"1,544",124,47
S01006679,Tillydrone - 05,S12000033,Aberdeen City,622,15,63
S01006680,Tillydrone - 06,S12000033,Aberdeen City,862,64,33
S01006681,Woodside - 01,S12000033,Aberdeen City,823,31,156
S01006682,Woodside - 02,S12000033,Aberdeen City,853,49,33
S01006683,Woodside - 03,S12000033,Aberdeen City,913,60,29
S01006684,Woodside - 04,S12000033,Aberdeen City,641,37,27
S01006685,Woodside - 05,S12000033,Aberdeen City,618,24,38
S01006686,Hilton - 01,S12000033,Aberdeen City,615,43,33
S01006687,Hilton - 02,S12000033,Aberdeen City,716,56,56
S01006688,Hilton - 03,S12000033,Aberdeen City,895,35,126
S01006689,Hilton - 04,S12000033,Aberdeen City,"1,068",48,36
S01006690,Hilton - 05,S12000033,Aberdeen City,595,48,51
S01006691,Hilton - 06,S12000033,Aberdeen City,656,38,45
S01006692,Hilton - 07,S12000033,Aberdeen City,737,24,67
S01006693,Hilton - 08,S12000033,Aberdeen City,964,67,40
S01006694,Stockethill - 01,S12000033,Aberdeen City,827,59,135
S01006695,Stockethill - 02,S12000033,Aberdeen City,752,22,76
S01006696,Stockethill - 03,S12000033,Aberdeen City,748,42,63
S01006697,Stockethill - 04,S12000033,Aberdeen City,816,41,73
S01006698,Stockethill - 05,S12000033,Aberdeen City,729,31,64
S01006699,Stockethill - 06,S12000033,Aberdeen City,498,24,45
S01006700,Stockethill - 07,S12000033,Aberdeen City,772,37,94
S01006701,Mastrick - 01,S12000033,Aberdeen City,624,34,41
S01006702,Mastrick - 02,S12000033,Aberdeen City,750,29,69
S01006703,Mastrick - 03,S12000033,Aberdeen City,623,34,34
S01006704,Mastrick - 04,S12000033,Aberdeen City,501,38,25
S01006705,Mastrick - 05,S12000033,Aberdeen City,737,41,69
S01006706,Mastrick - 06,S12000033,Aberdeen City,550,34,26
S01006707,Mastrick - 07,S12000033,Aberdeen City,576,40,45
S01006708,Sheddocksley - 01,S12000033,Aberdeen City,776,34,79
S01006709,Sheddocksley - 02,S12000033,Aberdeen City,846,43,52
S01006710,Sheddocksley - 03,S12000033,Aberdeen City,804,25,101
S01006711,Sheddocksley - 04,S12000033,Aberdeen City,883,36,96
S01006712,Sheddocksley - 05,S12000033,Aberdeen City,477,22,52
S01006713,Sheddocksley - 06,S12000033,Aberdeen City,881,47,68
S01006714,Cummings Park - 01,S12000033,Aberdeen City,706,19,71
S01006715,Cummings Park - 02,S12000033,Aberdeen City,587,28,17
S01006716,Cummings Park - 03,S12000033,Aberdeen City,582,40,48
S01006717,Cummings Park - 04,S12000033,Aberdeen City,886,55,81
S01006718,Cummings Park - 05,S12000033,Aberdeen City,576,34,31
S01006719,Northfield - 01,S12000033,Aberdeen City,857,44,46
S01006720,Northfield - 02,S12000033,Aberdeen City,592,38,26
S01006721,Northfield - 03,S12000033,Aberdeen City,889,48,49
S01006722,Northfield - 04,S12000033,Aberdeen City,693,31,35
S01006723,Northfield - 05,S12000033,Aberdeen City,649,29,48
S01006724,Northfield - 06,S12000033,Aberdeen City,923,70,25
S01006725,Northfield - 07,S12000033,Aberdeen City,599,34,28
S01006726,Heathryfold and Middlefield - 01,S12000033,Aberdeen City,634,54,24
S01006727,Heathryfold and Middlefield - 02,S12000033,Aberdeen City,"1,155",69,92
S01006728,Heathryfold and Middlefield - 03,S12000033,Aberdeen City,788,54,44
S01006729,Heathryfold and Middlefield - 04,S12000033,Aberdeen City,"1,060",75,34
S01006730,Heathryfold and Middlefield - 05,S12000033,Aberdeen City,746,41,45
S01006731,Heathryfold and Middlefield - 06,S12000033,Aberdeen City,514,15,37
S01006732,Kingswells - 01,S12000033,Aberdeen City,"1,482",107,80
S01006733,Kingswells - 02,S12000033,Aberdeen City,972,44,36
S01006734,Kingswells - 03,S12000033,Aberdeen City,"1,001",50,112
S01006735,Kingswells - 04,S12000033,Aberdeen City,555,22,71
S01006736,Kingswells - 05,S12000033,Aberdeen City,"1,089",55,13
S01006737,Kingswells - 06,S12000033,Aberdeen City,"1,533",142,82
S01006738,Bucksburn South - 01,S12000033,Aberdeen City,"1,286",102,39
S01006739,Bucksburn South - 02,S12000033,Aberdeen City,"1,562",183,37
S01006740,Bucksburn South - 03,S12000033,Aberdeen City,757,28,48
S01006741,Bucksburn South - 04,S12000033,Aberdeen City,651,28,110
S01006742,Bucksburn South - 05,S12000033,Aberdeen City,473,29,71
S01006743,Bucksburn North - 01,S12000033,Aberdeen City,891,63,65
S01006744,Bucksburn North - 02,S12000033,Aberdeen City,571,21,47
S01006745,Bucksburn North - 03,S12000033,Aberdeen City,847,53,78
S01006746,Bucksburn North - 04,S12000033,Aberdeen City,823,32,76
S01006747,Bucksburn North - 05,S12000033,Aberdeen City,"1,018",68,120
S01006748,Bucksburn North - 06,S12000033,Aberdeen City,"1,252",62,137
S01006749,Dyce - 01,S12000033,Aberdeen City,849,38,87
S01006750,Dyce - 02,S12000033,Aberdeen City,671,25,104
S01006751,Dyce - 03,S12000033,Aberdeen City,484,27,54
S01006752,Dyce - 04,S12000033,Aberdeen City,676,23,78
S01006753,Dyce - 05,S12000033,Aberdeen City,863,29,131
S01006754,Dyce - 06,S12000033,Aberdeen City,794,17,136
S01006755,Dyce - 07,S12000033,Aberdeen City,786,49,41
S01006756,Danestone - 01,S12000033,Aberdeen City,813,48,90
S01006757,Danestone - 02,S12000033,Aberdeen City,865,37,185
S01006758,Danestone - 03,S12000033,Aberdeen City,619,23,51
S01006759,Danestone - 04,S12000033,Aberdeen City,533,13,54
S01006760,Danestone - 05,S12000033,Aberdeen City,422,12,31
S01006761,Danestone - 06,S12000033,Aberdeen City,633,16,85
S01006762,Oldmachar West - 01,S12000033,Aberdeen City,"1,521",109,149
S01006763,Oldmachar West - 02,S12000033,Aberdeen City,819,48,14
S01006764,Oldmachar West - 03,S12000033,Aberdeen City,691,43,22
S01006765,Oldmachar West - 04,S12000033,Aberdeen City,539,23,24
S01006766,Oldmachar West - 05,S12000033,Aberdeen City,558,21,22
S01006767,Oldmachar West - 06,S12000033,Aberdeen City,644,11,69
S01006768,Oldmachar East - 01,S12000033,Aberdeen City,560,22,41
S01006769,Oldmachar East - 02,S12000033,Aberdeen City,870,29,80
S01006770,Oldmachar East - 03,S12000033,Aberdeen City,582,26,59
S01006771,Oldmachar East - 04,S12000033,Aberdeen City,401,17,19
S01006772,Oldmachar East - 05,S12000033,Aberdeen City,816,24,59
S01006773,Oldmachar East - 06,S12000033,Aberdeen City,873,43,140
S01006774,Oldmachar East - 07,S12000033,Aberdeen City,573,13,37
S01006775,Balgownie and Donmouth West - 01,S12000033,Aberdeen City,839,69,55
S01006776,Balgownie and Donmouth West - 02,S12000033,Aberdeen City,458,13,69
S01006777,Balgownie and Donmouth West - 03,S12000033,Aberdeen City,618,16,71
S01006778,Balgownie and Donmouth West - 04,S12000033,Aberdeen City,569,19,80
S01006779,Balgownie and Donmouth West - 05,S12000033,Aberdeen City,561,27,46
S01006780,Balgownie and Donmouth West - 06,S12000033,Aberdeen City,567,23,51
S01006781,Balgownie and Donmouth East - 01,S12000033,Aberdeen City,661,28,95
S01006782,Balgownie and Donmouth East - 02,S12000033,Aberdeen City,774,44,49
S01006783,Balgownie and Donmouth East - 03,S12000033,Aberdeen City,555,18,115
S01006784,Balgownie and Donmouth East - 04,S12000033,Aberdeen City,631,32,52
S01006785,Denmore - 01,S12000033,Aberdeen City,563,27,37
S01006786,Denmore - 02,S12000033,Aberdeen City,756,39,47
S01006787,Denmore - 03,S12000033,Aberdeen City,622,24,73
S01006788,Denmore - 04,S12000033,Aberdeen City,"2,015",207,48
S01006789,East Cairngorms - 01,S12000034,Aberdeenshire,565,12,103
S01006790,East Cairngorms - 02,S12000034,Aberdeenshire,822,21,150
S01006791,East Cairngorms - 03,S12000034,Aberdeenshire,559,23,51
S01006792,East Cairngorms - 04,S12000034,Aberdeenshire,468,13,66
S01006793,East Cairngorms - 05,S12000034,Aberdeenshire,620,15,60
S01006794,Aboyne and South Deeside - 01,S12000034,Aberdeenshire,539,27,66
S01006795,Aboyne and South Deeside - 02,S12000034,Aberdeenshire,762,24,89
S01006796,Aboyne and South Deeside - 03,S12000034,Aberdeenshire,961,50,68
S01006797,Aboyne and South Deeside - 04,S12000034,Aberdeenshire,587,11,64
S01006798,Aboyne and South Deeside - 05,S12000034,Aberdeenshire,685,28,44
S01006799,Aboyne and South Deeside - 06,S12000034,Aberdeenshire,901,32,131
S01006800,Aboyne and South Deeside - 07,S12000034,Aberdeenshire,892,31,66
S01006801,Mearns and Laurencekirk - 01,S12000034,Aberdeenshire,"1,335",87,158
S01006802,Mearns and Laurencekirk - 02,S12000034,Aberdeenshire,760,40,72
S01006803,Mearns and Laurencekirk - 03,S12000034,Aberdeenshire,637,23,73
S01006804,Mearns and Laurencekirk - 04,S12000034,Aberdeenshire,770,47,61
S01006805,Mearns and Laurencekirk - 05,S12000034,Aberdeenshire,"1,096",73,60
S01006806,Mearns South and Benholm - 01,S12000034,Aberdeenshire,"1,096",55,95
S01006807,Mearns South and Benholm - 02,S12000034,Aberdeenshire,639,38,33
S01006808,Mearns South and Benholm - 03,S12000034,Aberdeenshire,719,36,44
S01006809,Mearns South and Benholm - 04,S12000034,Aberdeenshire,852,47,64
S01006810,Mearns South and Benholm - 05,S12000034,Aberdeenshire,829,33,67
S01006811,Mearns North and Inverbervie - 01,S12000034,Aberdeenshire,"1,088",57,76
S01006812,Mearns North and Inverbervie - 02,S12000034,Aberdeenshire,888,44,26
S01006813,Mearns North and Inverbervie - 03,S12000034,Aberdeenshire,846,44,43
S01006814,Mearns North and Inverbervie - 04,S12000034,Aberdeenshire,715,30,48
S01006815,Mearns North and Inverbervie - 05,S12000034,Aberdeenshire,587,26,57
S01006816,Mearns North and Inverbervie - 06,S12000034,Aberdeenshire,750,34,72
S01006817,Mearns North and Inverbervie - 07,S12000034,Aberdeenshire,774,31,33
S01006818,"Fetteresso, Netherley and Catter - 01",S12000034,Aberdeenshire,765,25,46
S01006819,"Fetteresso, Netherley and Catter - 02",S12000034,Aberdeenshire,"1,042",49,43
S01006820,"Fetteresso, Netherley and Catter - 03",S12000034,Aberdeenshire,405,18,52
S01006821,"Fetteresso, Netherley and Catter - 04",S12000034,Aberdeenshire,"1,728",153,54
S01006822,"Fetteresso, Netherley and Catter - 05",S12000034,Aberdeenshire,"1,090",65,42
S01006823,Stonehaven South - 01,S12000034,Aberdeenshire,661,19,100
S01006824,Stonehaven South - 02,S12000034,Aberdeenshire,798,39,55
S01006825,Stonehaven South - 03,S12000034,Aberdeenshire,725,39,77
S01006826,Stonehaven South - 04,S12000034,Aberdeenshire,886,32,146
S01006827,Stonehaven South - 05,S12000034,Aberdeenshire,810,21,81
S01006828,Stonehaven South - 06,S12000034,Aberdeenshire,760,16,88
S01006829,Stonehaven South - 07,S12000034,Aberdeenshire,429,26,8
S01006830,Stonehaven North - 01,S12000034,Aberdeenshire,745,21,132
S01006831,Stonehaven North - 02,S12000034,Aberdeenshire,515,20,62
S01006832,Stonehaven North - 03,S12000034,Aberdeenshire,948,30,120
S01006833,Stonehaven North - 04,S12000034,Aberdeenshire,522,19,86
S01006834,Stonehaven North - 05,S12000034,Aberdeenshire,496,27,6
S01006835,Stonehaven North - 06,S12000034,Aberdeenshire,712,31,113
S01006836,Stonehaven North - 07,S12000034,Aberdeenshire,515,23,19
S01006837,Stonehaven North - 08,S12000034,Aberdeenshire,536,29,68
S01006838,Stonehaven North - 09,S12000034,Aberdeenshire,579,27,34
S01006839,Newtonhill - 01,S12000034,Aberdeenshire,951,48,90
S01006840,Newtonhill - 02,S12000034,Aberdeenshire,"1,085",56,88
S01006841,Newtonhill - 03,S12000034,Aberdeenshire,850,44,52
S01006842,Portlethen - 01,S12000034,Aberdeenshire,703,19,81
S01006843,Portlethen - 02,S12000034,Aberdeenshire,770,41,55
S01006844,Portlethen - 03,S12000034,Aberdeenshire,598,21,60
S01006845,Portlethen - 04,S12000034,Aberdeenshire,872,29,46
S01006846,Portlethen - 05,S12000034,Aberdeenshire,489,20,45
S01006847,Portlethen - 06,S12000034,Aberdeenshire,721,26,86
S01006848,Banchory-Devenick and Findon - 01,S12000034,Aberdeenshire,"1,659",99,63
S01006849,Banchory-Devenick and Findon - 02,S12000034,Aberdeenshire,"2,071",180,28
S01006850,Banchory-Devenick and Findon - 03,S12000034,Aberdeenshire,867,40,34
S01006851,Banchory-Devenick and Findon - 04,S12000034,Aberdeenshire,733,24,54
S01006852,Banchory-Devenick and Findon - 05,S12000034,Aberdeenshire,577,34,60
S01006853,"Dunecht, Durris and Drumoak - 01",S12000034,Aberdeenshire,963,42,48
S01006854,"Dunecht, Durris and Drumoak - 02",S12000034,Aberdeenshire,827,44,93
S01006855,"Dunecht, Durris and Drumoak - 03",S12000034,Aberdeenshire,840,40,53
S01006856,"Dunecht, Durris and Drumoak - 04",S12000034,Aberdeenshire,744,42,52
S01006857,"Dunecht, Durris and Drumoak - 05",S12000034,Aberdeenshire,"1,215",78,82
S01006858,"Dunecht, Durris and Drumoak - 06",S12000034,Aberdeenshire,648,24,42
S01006859,Banchory East - 01,S12000034,Aberdeenshire,937,45,81
S01006860,Banchory East - 02,S12000034,Aberdeenshire,535,22,65
S01006861,Banchory East - 03,S12000034,Aberdeenshire,614,23,25
S01006862,Banchory East - 04,S12000034,Aberdeenshire,640,34,78
S01006863,Banchory East - 05,S12000034,Aberdeenshire,664,33,66
S01006864,Banchory East - 06,S12000034,Aberdeenshire,765,78,18
S01006865,Banchory West - 01,S12000034,Aberdeenshire,878,33,119
S01006866,Banchory West - 02,S12000034,Aberdeenshire,527,32,74
S01006867,Banchory West - 03,S12000034,Aberdeenshire,699,17,122
S01006868,Banchory West - 04,S12000034,Aberdeenshire,745,29,77
S01006869,Crathes and Torphins - 01,S12000034,Aberdeenshire,570,36,42
S01006870,Crathes and Torphins - 02,S12000034,Aberdeenshire,470,13,69
S01006871,Crathes and Torphins - 03,S12000034,Aberdeenshire,673,24,99
S01006872,Crathes and Torphins - 04,S12000034,Aberdeenshire,"1,177",89,74
S01006873,Crathes and Torphins - 05,S12000034,Aberdeenshire,"1,027",32,250
S01006874,Crathes and Torphins - 06,S12000034,Aberdeenshire,554,27,40
S01006875,Cromar and Kildrummy - 01,S12000034,Aberdeenshire,722,25,94
S01006876,Cromar and Kildrummy - 02,S12000034,Aberdeenshire,963,39,78
S01006877,Cromar and Kildrummy - 03,S12000034,Aberdeenshire,893,41,70
S01006878,Cromar and Kildrummy - 04,S12000034,Aberdeenshire,682,17,74
S01006879,Cromar and Kildrummy - 05,S12000034,Aberdeenshire,785,19,118
S01006880,Howe of Alford - 01,S12000034,Aberdeenshire,742,47,43
S01006881,Howe of Alford - 02,S12000034,Aberdeenshire,562,21,50
S01006882,Howe of Alford - 03,S12000034,Aberdeenshire,376,10,75
S01006883,Howe of Alford - 04,S12000034,Aberdeenshire,439,13,59
S01006884,Howe of Alford - 05,S12000034,Aberdeenshire,798,35,100
