,Aged 4 years and under,Aged 75 and above,lone parent with dependent childern,Non-white,unpaid care 20h+,Detached,Semi-detached,Terraced,Flat,Shared house,Owned: Owns outright,Owns with a mortgage or loan or shared ownership,Social rented,Private rented,Entry-level education and below,Economically active: Employee: Part-time,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Unemploy,Elementary occupations,English not as main language,large household size >5 people,under occupancy,No central heating,Electric only
S01006993,5.2,6.0,1.3,1.7,4.3,90.3,7.3,1.0,0.0,0.5,42.6,40.6,2.0,11.9,48.0,12.3,10.6,3.9,5.8,1.9,1.2,11.2,0.6,1.0,85.1,4.5,5.9
S01006994,2.9,5.8,1.6,2.3,2.6,89.4,9.4,1.3,0.0,0.0,38.1,39.4,2.7,17.3,44.2,15.9,10.8,3.2,4.2,2.5,3.8,13.2,2.0,0.9,93.4,2.2,5.3
S01006995,6.0,5.2,2.0,1.3,3.5,75.8,15.9,6.6,0.9,0.3,34.4,41.7,3.6,13.3,45.5,13.8,9.7,3.0,4.2,0.9,4.4,10.1,1.0,2.4,89.7,1.8,19.3
S01006996,6.3,6.2,2.0,0.8,2.2,50.0,38.2,6.1,4.8,0.0,25.8,46.1,24.5,2.9,55.8,16.8,8.8,3.1,4.7,2.7,4.7,11.9,1.2,2.0,75.5,0.7,29.7
S01006997,6.4,4.9,0.9,0.9,2.0,81.0,12.8,3.9,1.3,1.0,28.8,55.8,6.5,6.8,35.8,16.3,7.8,3.3,4.2,1.4,2.8,6.7,0.4,2.1,91.1,3.1,13.7
S01006998,5.6,7.4,1.6,1.6,2.2,75.1,14.5,8.9,0.4,0.6,36.9,44.2,6.9,7.1,42.7,15.1,11.3,3.1,4.2,0.7,3.1,8.1,1.1,0.9,86.7,3.1,18.2
S01006999,5.1,10.4,0.9,0.2,3.9,77.7,19.5,1.4,0.0,0.3,38.3,37.4,1.8,17.4,52.5,16.1,12.0,2.6,3.5,2.9,2.0,12.2,0.7,1.8,90.1,7.2,7.5
S01007000,6.9,11.9,1.6,0.4,2.6,52.7,31.8,6.4,8.5,0.5,26.8,42.5,25.8,3.4,50.9,16.3,15.8,2.3,3.2,1.7,5.5,8.7,1.1,0.7,75.4,1.4,28.3
S01007001,4.3,14.9,2.4,0.5,3.0,55.1,24.4,14.2,4.5,0.2,36.9,40.5,14.2,7.0,49.4,13.3,16.0,4.0,4.5,1.9,4.9,10.1,1.3,0.8,81.2,1.5,19.6
S01007002,3.9,13.1,2.0,2.1,3.1,66.4,20.9,4.0,8.3,0.0,30.4,34.8,19.6,13.0,51.8,16.4,10.4,3.3,5.2,4.7,5.9,12.6,2.6,2.2,80.9,1.3,7.4
S01007003,3.2,6.3,1.1,0.6,2.7,79.0,16.4,2.3,0.5,1.4,45.4,27.8,4.9,14.6,51.5,16.9,11.0,1.3,4.9,2.3,3.8,15.9,2.0,0.5,87.8,5.9,9.3
S01007004,4.8,4.2,1.3,0.3,3.3,77.5,16.6,3.1,0.9,1.5,45.7,32.9,3.9,12.8,48.3,13.8,12.5,3.8,4.7,2.7,1.1,9.0,0.9,2.3,89.8,4.9,9.9
S01007005,4.6,8.2,1.3,0.3,2.1,83.4,12.2,2.8,0.8,0.3,42.0,39.4,4.3,10.9,42.1,15.0,12.8,3.7,3.1,1.5,4.4,7.9,1.1,1.7,92.5,2.6,11.5
S01007006,4.8,10.5,1.6,1.6,2.8,57.3,24.8,11.5,5.0,1.2,35.0,29.2,17.8,12.2,54.4,13.9,17.6,2.5,4.7,3.1,5.2,10.4,1.5,1.3,80.7,3.0,18.0
S01007007,4.1,8.1,0.5,3.1,3.5,73.1,21.6,4.2,0.6,0.0,41.7,31.4,7.7,16.0,51.3,12.3,11.9,3.3,4.1,4.3,6.2,9.4,1.2,1.8,83.7,5.6,5.9
S01007008,3.7,15.6,2.3,1.0,3.6,22.8,43.0,18.9,11.5,3.5,27.6,28.4,34.0,6.4,60.9,16.6,14.8,3.2,3.0,5.6,3.4,14.0,3.4,0.9,68.4,1.8,11.1
S01007009,4.7,10.8,1.3,1.4,3.0,31.5,25.9,12.4,26.8,2.3,39.9,26.8,22.6,8.7,59.3,15.0,19.3,2.1,3.3,2.3,5.0,13.3,2.3,1.4,68.5,1.4,10.1
S01007010,3.2,21.9,1.1,0.9,2.8,44.4,17.8,12.0,22.4,1.0,45.7,23.5,20.2,8.4,51.8,14.0,20.2,2.8,3.0,1.7,7.5,10.7,2.0,0.0,69.6,1.0,11.7
S01007011,3.9,12.5,2.9,0.7,2.2,12.6,25.7,21.3,33.3,3.9,26.6,21.2,38.7,11.2,63.6,15.4,16.4,2.0,2.7,3.7,11.7,13.6,2.9,1.1,53.1,2.8,8.2
S01007012,6.7,12.3,5.9,0.8,2.7,4.3,35.4,57.8,2.2,0.3,26.1,18.3,49.7,2.8,75.0,18.5,17.9,3.6,5.2,3.8,13.7,19.2,1.9,1.9,55.0,0.9,5.6
S01007013,4.5,7.8,0.9,1.8,3.4,81.9,13.7,2.2,1.8,0.0,54.1,31.5,2.3,9.9,54.1,14.1,14.5,3.9,3.7,1.8,2.3,10.1,0.4,1.4,93.7,2.3,6.8
S01007014,5.4,4.9,1.0,1.0,2.5,72.9,24.6,1.3,0.5,0.5,32.3,49.6,2.4,11.3,49.3,15.3,8.9,3.1,5.2,1.5,5.0,8.5,1.2,1.3,94.2,1.8,5.2
S01007015,4.3,6.0,0.8,0.6,3.0,79.5,17.0,2.3,0.4,0.4,31.6,32.4,6.9,23.1,50.5,13.8,12.6,2.7,5.0,2.9,2.9,9.6,2.0,3.6,88.3,5.3,4.9
S01007016,2.5,5.5,0.7,0.8,3.5,86.5,11.7,1.8,0.0,0.0,34.3,43.2,3.8,15.0,50.8,12.5,9.2,3.7,4.5,2.8,6.9,13.1,1.9,2.8,91.1,4.2,8.9
S01007017,5.1,13.0,2.3,1.4,3.3,10.2,35.4,31.7,20.3,1.0,26.5,32.6,34.0,5.7,68.9,15.5,15.6,2.1,3.7,3.1,6.4,18.0,2.2,0.8,59.9,0.4,19.3
S01007018,4.0,15.7,1.9,0.7,2.4,51.5,27.1,13.6,7.1,0.2,42.5,38.5,13.1,4.5,61.2,16.5,19.3,2.3,3.9,1.4,4.5,14.0,2.3,1.2,79.6,0.0,23.3
S01007019,2.8,13.9,1.5,1.8,2.7,34.8,25.6,33.5,4.7,1.3,39.8,26.5,20.7,7.4,65.9,14.4,17.8,2.6,4.2,2.8,6.8,19.6,5.8,0.3,66.0,1.6,29.1
S01007020,3.4,15.7,1.2,1.2,3.0,29.1,17.4,14.9,29.1,3.7,30.9,31.4,21.7,12.2,56.9,11.3,15.6,3.2,3.1,2.7,7.2,12.7,2.5,0.0,63.3,1.5,14.1
S01007021,4.3,11.2,1.8,0.4,3.6,23.0,50.7,15.9,8.5,1.9,41.4,34.0,16.9,5.0,64.0,16.0,20.0,1.2,2.6,5.1,4.2,13.9,3.4,0.0,79.4,0.5,11.9
S01007022,2.7,13.8,2.6,1.2,4.6,48.3,45.9,4.3,1.0,0.5,39.2,25.8,29.7,1.9,58.8,18.6,18.3,4.3,4.3,5.4,7.1,15.2,4.0,0.0,67.5,0.0,13.9
S01007023,3.2,8.7,1.2,0.4,5.3,54.7,35.7,8.1,0.8,0.8,34.5,25.6,14.8,20.7,59.1,14.1,17.2,2.0,3.9,4.8,6.8,10.8,1.3,2.5,85.2,3.4,26.1
S01007024,4.0,9.2,1.1,1.1,6.1,72.3,21.2,4.6,0.7,0.0,48.6,28.8,7.7,8.9,55.3,14.4,17.1,4.3,4.2,3.3,4.7,13.5,1.6,2.2,88.0,3.6,13.5
S01007025,6.6,9.9,1.7,0.6,4.1,19.6,65.6,7.7,6.5,0.5,35.0,22.6,37.0,3.1,66.0,16.2,18.4,2.1,3.8,5.8,6.7,17.0,2.8,1.5,74.3,0.5,22.1
S01007026,3.9,17.6,1.6,1.1,3.6,55.8,25.4,6.2,9.9,1.7,50.5,25.2,16.7,5.1,59.4,14.0,24.3,2.7,3.5,4.7,5.3,13.5,2.5,0.5,76.7,0.7,18.7
S01007027,2.9,11.9,2.1,0.3,3.0,45.8,34.3,12.2,6.8,0.9,43.0,27.2,20.4,7.1,55.2,15.9,18.8,2.6,4.4,4.7,5.6,10.0,2.8,1.5,74.8,1.9,19.1
S01007028,7.4,10.5,1.6,1.1,4.5,69.8,24.6,2.4,2.4,0.6,44.8,28.6,6.7,13.7,51.5,16.7,16.0,3.2,3.6,4.3,3.9,10.6,1.0,1.9,90.2,4.8,13.0
S01007029,4.7,8.9,0.7,0.9,3.2,91.5,5.9,0.4,0.8,0.0,57.9,33.0,2.7,1.8,60.0,12.2,18.0,2.3,4.0,2.8,6.8,15.1,1.5,4.1,90.5,2.7,8.1
S01007030,3.9,12.1,1.6,0.9,3.4,44.8,22.7,30.0,1.7,0.6,41.4,23.4,28.1,4.1,67.0,17.4,19.4,2.1,5.7,3.6,5.4,15.7,2.0,0.3,73.7,0.9,37.0
S01007031,4.9,8.1,1.4,0.8,5.1,51.3,26.5,11.8,8.2,1.3,29.5,23.9,32.3,11.2,60.3,15.3,15.7,3.7,4.8,4.8,8.5,11.9,1.5,2.1,64.6,0.4,38.2
S01007032,2.9,10.6,1.8,1.2,2.6,15.1,30.1,20.8,26.1,3.9,30.2,23.3,30.2,13.0,58.2,12.1,18.2,4.2,2.6,4.9,11.8,11.4,2.9,0.6,61.7,2.0,14.4
S01007033,4.8,8.0,3.0,1.5,3.8,20.7,35.1,34.8,8.3,1.1,32.8,28.4,33.7,3.8,63.3,19.0,17.5,3.1,3.8,4.9,9.3,12.6,1.1,0.6,69.5,1.5,35.8
S01007034,4.2,7.2,3.5,1.9,4.4,27.9,30.5,18.4,18.4,4.8,33.1,29.7,27.8,6.8,54.0,18.5,11.7,5.2,3.6,4.5,8.8,12.3,1.9,1.1,71.8,1.9,10.5
S01007035,5.5,10.5,4.3,2.2,3.6,9.4,55.1,25.1,9.4,0.8,27.5,20.0,46.4,2.9,70.9,19.2,19.2,3.0,3.7,6.5,7.4,22.2,4.7,0.5,65.3,1.1,30.1
S01007036,3.2,16.6,1.6,1.5,3.1,50.7,17.4,14.5,13.3,3.1,41.6,28.9,21.4,4.7,55.9,15.7,16.7,4.4,3.6,5.5,3.5,11.1,1.7,1.2,76.6,0.7,12.5
S01007037,4.5,11.4,2.7,0.6,3.3,21.7,42.1,27.5,8.5,0.0,30.2,30.9,34.9,3.1,67.1,19.5,16.6,3.3,2.4,5.6,6.6,16.7,3.0,0.9,66.4,0.4,15.2
S01007038,3.6,6.8,1.3,1.5,2.1,26.7,30.6,18.9,19.2,4.2,33.5,32.0,22.9,9.8,58.1,14.2,11.1,4.2,4.9,4.2,8.6,11.5,2.1,3.4,70.1,1.2,14.0
S01007039,5.9,7.4,2.4,0.0,2.6,32.6,36.1,21.9,9.2,0.0,30.4,32.6,32.6,2.7,64.2,16.5,15.7,4.1,4.9,4.9,9.3,13.9,1.7,1.4,71.5,1.4,14.9
S01007040,4.9,9.5,3.7,0.6,2.9,27.1,39.5,22.9,9.5,0.7,35.9,24.3,33.9,3.7,66.7,16.7,17.2,4.1,5.4,3.2,8.2,13.4,1.6,0.7,66.8,1.7,9.3
S01007041,5.1,8.0,1.9,1.4,1.8,32.3,27.8,22.1,12.9,2.4,38.4,30.8,26.2,3.2,60.5,15.5,14.8,3.4,2.7,4.0,11.2,14.1,1.5,0.6,73.3,1.2,9.0
S01007042,5.0,8.3,1.2,0.3,3.3,53.8,31.9,9.4,4.3,0.6,37.7,33.6,20.1,5.7,62.2,15.6,13.6,4.5,6.0,2.5,12.3,9.9,1.8,0.9,77.4,2.5,25.5
S01007043,4.3,10.0,0.7,0.6,3.2,80.7,15.6,2.2,0.0,0.5,47.1,26.4,2.6,16.2,51.0,13.6,11.6,2.0,4.3,2.9,4.2,12.2,2.0,1.3,91.4,4.7,8.4
S01007044,5.5,16.0,1.2,0.6,3.4,33.9,32.7,26.6,5.4,0.9,46.1,28.4,12.1,8.5,58.2,14.1,18.3,5.0,5.8,5.4,3.4,7.7,3.7,1.3,82.7,2.3,27.8
S01007045,2.6,8.4,1.0,1.0,5.3,89.8,6.8,0.8,0.8,0.3,51.7,33.8,2.2,7.7,56.4,12.8,16.6,2.7,4.9,3.2,8.1,7.8,1.4,2.2,92.6,5.2,5.5
S01007046,3.5,8.2,0.7,0.3,6.1,56.2,37.2,5.2,1.0,0.0,50.2,33.6,5.4,8.1,61.1,14.4,15.0,4.9,5.1,5.1,1.3,11.8,1.6,0.8,84.9,1.9,18.1
S01007047,3.1,10.0,0.8,0.0,5.6,79.9,16.2,2.5,0.4,0.4,53.3,35.2,2.7,5.0,58.2,13.9,16.2,4.0,5.0,1.5,4.8,10.6,0.6,3.4,91.2,4.6,9.6
S01007048,5.4,9.7,0.6,0.6,4.4,79.4,14.5,4.6,1.1,0.0,45.7,36.5,7.5,7.5,57.3,12.9,15.0,3.7,5.0,2.3,6.2,8.7,1.6,2.2,86.4,3.1,8.4
S01007049,5.0,8.7,2.3,0.8,4.7,22.7,50.7,21.1,4.4,0.2,32.3,26.5,32.0,6.7,67.0,15.8,16.4,2.1,4.6,5.6,7.6,17.5,1.6,1.0,71.6,1.9,37.3
S01007050,5.9,11.4,1.7,0.3,3.9,44.1,35.9,14.0,5.1,0.3,39.3,34.6,16.6,5.8,60.5,13.6,16.1,2.5,4.4,5.0,6.1,12.6,2.3,1.0,75.9,1.7,22.4
S01007051,4.9,10.5,1.6,0.5,4.0,36.4,39.7,11.1,9.0,3.5,33.1,37.0,19.6,8.1,54.7,18.9,14.2,2.3,3.5,3.2,3.7,11.4,1.5,2.1,73.2,2.1,39.5
S01007052,8.1,6.2,1.4,1.0,3.3,61.0,28.6,9.1,0.8,0.4,41.6,39.1,9.4,6.0,55.4,15.2,14.3,4.3,5.2,2.9,5.2,10.9,1.3,1.3,85.4,3.0,19.7
S01007053,5.1,8.0,1.0,0.8,2.8,91.0,7.0,1.0,0.5,0.0,46.1,41.4,0.5,9.9,43.3,11.2,17.8,3.1,4.4,1.6,5.0,6.1,1.2,2.6,91.1,4.2,8.9
S01007054,4.6,11.6,2.2,0.6,3.5,23.8,43.1,25.6,3.9,2.5,37.3,30.2,22.6,5.8,61.3,17.8,15.8,1.4,3.0,4.5,6.9,14.3,2.4,1.2,69.6,3.2,31.1
S01007055,5.6,7.2,0.6,0.4,1.4,86.3,10.7,1.0,0.5,0.5,46.9,36.2,1.5,8.7,50.2,15.3,10.9,3.5,2.2,3.5,5.2,11.7,0.4,2.6,90.3,5.1,5.1
S01007056,5.0,10.1,0.5,3.0,3.0,86.5,10.5,1.3,1.3,0.4,46.2,37.6,2.7,8.6,50.4,11.3,10.7,5.0,4.0,1.9,7.5,9.1,1.0,2.3,87.8,4.1,8.1
S01007057,2.5,19.1,0.6,0.2,3.3,56.0,35.6,4.0,3.6,0.8,55.9,27.1,12.6,2.8,59.7,12.5,24.3,2.3,3.7,2.6,5.7,9.7,3.0,0.0,81.0,0.8,12.6
S01007058,4.9,18.1,1.9,0.7,3.1,31.0,43.1,14.5,11.4,0.0,36.1,26.7,34.7,2.1,66.5,15.7,22.7,2.5,2.5,4.2,4.2,11.7,3.2,0.0,68.8,2.4,20.5
S01007059,3.3,11.5,3.1,2.5,3.1,41.0,49.3,4.5,4.7,0.2,36.0,38.6,18.2,5.3,58.2,14.1,15.5,3.9,5.1,3.7,4.8,10.7,2.1,1.2,76.0,2.1,24.9
S01007060,5.0,7.6,5.6,0.2,3.5,13.0,77.0,9.6,0.4,0.0,25.1,32.5,39.0,3.0,69.3,19.0,14.0,4.8,5.4,5.8,15.8,16.4,1.2,3.5,68.4,0.9,58.9
S01007061,5.1,4.7,1.3,1.9,2.7,86.0,10.7,1.1,1.4,0.0,36.1,47.4,2.0,10.4,36.9,12.9,10.7,2.8,4.1,1.8,5.1,6.5,1.0,2.3,91.6,2.9,9.5
S01007062,5.9,6.0,1.2,1.7,2.0,83.4,14.1,0.4,0.4,0.7,43.4,40.8,2.9,8.1,42.3,15.4,12.1,4.3,3.9,1.1,3.3,4.4,1.4,1.1,93.0,2.9,6.6
S01007063,4.5,11.5,1.3,1.6,4.3,41.3,39.9,13.7,4.1,1.0,37.9,37.9,14.2,8.2,54.6,17.3,16.5,3.6,3.2,3.2,4.0,10.9,1.8,1.8,83.7,3.2,23.4
S01007064,8.3,4.8,1.6,1.3,2.9,68.0,21.8,7.5,0.4,1.5,41.1,34.8,12.3,7.5,48.5,13.5,10.4,2.6,3.2,3.8,3.0,9.0,1.5,0.8,84.2,3.2,18.6
S01007065,4.4,9.5,2.8,1.9,2.6,54.9,23.6,19.7,0.0,0.7,45.8,36.5,9.2,7.2,41.8,13.9,15.7,2.9,3.1,2.5,1.6,7.2,1.1,0.4,84.7,1.6,6.4
S01007066,5.7,6.7,1.2,0.3,2.9,79.0,17.0,2.2,0.4,1.5,38.9,44.8,4.8,9.5,47.1,15.3,10.8,4.3,5.9,2.5,5.3,9.2,0.6,1.2,88.9,6.0,8.3
S01007067,3.7,14.6,0.7,1.6,3.3,28.4,50.0,4.2,17.4,0.0,45.3,46.1,2.0,4.7,45.4,11.3,16.9,2.4,4.2,1.3,6.2,6.0,0.7,0.4,81.5,1.2,5.5
S01007068,4.9,13.7,3.2,0.7,5.0,40.5,29.9,22.4,4.0,2.3,28.6,32.2,31.9,4.0,54.7,13.4,17.6,2.9,4.6,3.7,6.8,12.0,1.4,0.3,69.0,2.4,38.9
S01007069,7.0,6.9,3.4,1.5,3.1,32.5,34.5,30.2,2.0,0.0,28.7,39.6,20.7,6.8,60.6,13.5,11.8,2.7,6.0,4.2,7.0,12.2,3.1,1.5,73.1,1.8,4.7
S01007070,6.3,9.5,1.4,0.6,5.8,22.5,42.0,24.8,9.5,0.4,29.1,36.4,27.9,5.7,62.7,12.4,12.2,1.3,4.3,8.1,11.4,17.8,3.3,0.0,61.5,2.4,16.2
S01007071,4.5,7.5,1.5,1.0,2.6,38.4,46.0,8.4,5.4,1.1,28.7,41.3,25.8,3.7,55.2,13.4,11.8,2.6,4.0,3.0,4.7,12.7,2.2,0.3,71.6,2.2,18.0
S01007072,3.7,6.5,1.6,0.5,2.2,34.0,43.7,21.1,1.2,0.0,37.0,49.6,6.5,4.1,51.7,16.4,9.5,2.2,5.1,1.4,5.5,10.5,0.8,0.4,86.6,1.2,0.8
S01007073,3.3,8.6,1.5,0.8,5.6,34.5,43.5,21.2,0.3,0.6,48.0,42.7,5.6,0.8,62.0,14.0,13.4,2.3,3.6,3.1,4.1,11.2,1.3,2.2,90.8,0.6,3.1
S01007074,4.3,6.8,4.1,1.1,4.1,5.4,22.3,50.7,21.6,0.0,31.5,32.2,32.2,3.4,66.1,19.9,14.3,1.7,3.7,2.9,11.0,18.2,2.8,0.7,78.8,1.4,5.5
S01007075,7.3,9.0,3.7,0.8,3.4,4.4,24.8,61.1,9.7,0.0,25.2,31.8,34.8,5.6,68.7,17.3,14.5,2.0,5.2,2.6,6.0,22.5,3.0,0.3,58.0,1.3,30.5
S01007076,4.9,5.2,1.8,0.7,4.3,8.9,22.9,66.1,2.1,0.0,29.8,44.3,20.8,4.8,64.6,19.5,12.6,1.7,4.1,2.8,7.9,18.1,1.4,1.7,79.9,0.7,2.8
S01007077,5.4,14.7,1.8,1.0,4.9,14.0,53.3,31.5,1.2,0.0,43.7,33.1,17.4,3.2,67.8,19.9,19.0,1.9,1.5,4.0,8.8,16.0,2.4,0.3,71.1,1.6,7.1
S01007078,4.4,10.8,3.0,0.8,3.8,19.8,30.9,22.0,26.2,1.0,39.9,22.4,30.4,5.3,64.9,18.4,19.5,2.3,3.1,4.5,11.1,18.5,3.0,0.8,71.4,0.3,3.3
S01007079,4.9,12.5,1.9,0.8,4.8,17.7,24.6,7.3,46.2,4.0,28.7,26.4,35.8,6.1,65.6,13.4,18.2,2.1,2.9,8.4,10.2,16.5,4.8,0.6,59.6,1.1,4.8
S01007080,4.8,10.9,4.1,1.0,4.9,12.2,42.0,6.1,37.0,2.8,33.2,25.6,31.3,7.5,67.4,16.3,14.9,5.0,2.7,5.6,12.0,15.2,3.4,0.5,69.7,0.3,4.1
S01007081,4.2,5.4,3.5,1.4,4.0,8.6,34.4,25.0,27.6,4.4,23.8,29.7,35.1,8.9,70.0,14.1,8.6,3.6,7.4,5.1,9.1,17.7,3.7,3.5,64.3,0.8,3.2
S01007082,2.8,6.3,3.6,0.4,4.9,16.8,37.0,11.8,29.0,5.5,27.0,33.5,28.3,9.4,67.2,17.1,9.5,3.9,3.7,5.6,10.7,24.0,6.6,3.0,63.5,1.7,3.0
S01007083,5.1,7.9,3.9,1.2,3.8,7.1,22.3,19.5,50.4,0.6,22.0,12.2,54.1,9.5,73.2,13.3,16.8,3.7,5.2,8.9,10.8,22.4,6.1,1.1,52.1,1.8,6.0
S01007084,2.7,24.6,1.6,2.1,4.5,19.6,37.1,6.6,28.3,8.0,41.4,30.8,15.8,9.5,61.0,15.9,21.8,2.8,2.3,2.3,3.2,13.4,3.8,0.0,76.2,1.1,1.8
S01007085,5.0,6.2,1.5,2.1,2.7,8.5,18.5,9.8,46.1,15.5,26.2,30.1,16.7,23.5,53.7,13.2,8.6,3.6,3.3,5.2,14.3,19.4,6.4,1.1,69.1,2.5,7.9
S01007086,6.8,3.0,4.4,3.9,3.4,3.5,8.0,12.7,64.2,7.2,12.7,12.2,49.9,23.9,64.0,14.0,6.3,3.6,3.4,7.2,21.0,27.2,5.1,0.9,42.4,4.5,10.8
S01007087,4.6,7.5,3.6,1.1,4.5,8.9,17.6,15.2,46.5,9.9,19.1,16.9,38.5,21.9,65.6,15.8,10.6,3.0,2.7,6.4,15.2,22.6,7.5,1.4,48.7,3.9,11.8
S01007088,4.1,7.2,5.6,0.7,6.7,2.3,12.8,6.4,69.5,8.6,14.6,22.3,49.4,10.1,74.8,12.3,8.3,3.7,6.4,12.3,15.7,19.3,4.8,1.2,61.5,0.8,2.0
S01007089,3.6,13.8,0.2,0.2,2.5,64.3,32.2,1.8,1.8,0.0,50.2,40.6,2.3,4.1,51.1,15.3,19.3,2.0,5.2,1.2,4.5,8.0,1.4,1.8,91.2,1.4,1.8
S01007090,3.7,6.8,2.0,0.9,3.0,17.3,56.9,14.1,11.3,0.4,30.5,54.3,1.6,11.5,56.8,15.0,9.2,2.2,2.9,0.5,6.0,10.2,2.1,0.8,74.5,4.1,10.7
S01007091,5.4,1.9,5.1,2.4,4.1,24.7,64.5,3.1,7.0,0.7,9.3,46.8,40.7,2.5,55.9,18.8,2.3,5.2,8.9,5.2,9.2,11.8,0.8,2.1,63.2,0.4,1.4
S01007092,6.1,15.7,2.2,1.8,5.9,8.1,43.6,30.8,12.8,4.4,25.4,27.0,43.3,2.6,73.0,18.9,16.3,2.2,4.5,6.9,7.1,17.0,3.3,0.7,55.7,1.6,34.9
S01007093,3.3,19.4,1.2,0.5,3.7,40.8,45.1,5.2,7.7,1.2,47.5,41.7,2.9,6.0,55.3,16.4,19.2,2.3,2.7,1.3,2.3,11.9,1.8,1.0,79.4,2.2,10.6
S01007094,4.3,12.8,1.1,0.7,5.4,42.9,47.3,7.0,2.2,0.6,52.5,35.9,5.9,4.0,61.1,18.7,16.8,1.8,4.4,3.2,1.9,10.7,1.5,2.0,88.1,0.3,1.4
S01007095,3.5,7.1,1.1,0.2,3.8,85.0,9.8,2.8,0.5,0.0,42.6,45.0,1.9,9.1,51.0,13.6,13.6,3.8,5.3,4.8,2.9,10.0,1.1,3.3,90.4,2.4,6.7
S01007096,6.0,5.5,1.3,0.4,2.0,70.5,17.9,4.3,5.2,0.9,26.6,56.0,12.0,2.5,46.8,15.4,11.0,2.8,4.7,1.8,3.3,6.7,0.8,1.9,80.7,3.2,28.2
S01007097,11.6,3.1,1.0,2.3,2.7,80.9,15.1,2.0,1.0,0.5,36.2,52.7,1.6,5.3,50.8,15.3,12.1,3.8,4.8,1.1,4.3,7.5,1.5,2.1,90.4,4.8,2.1
S01007098,5.7,5.9,1.0,1.7,4.4,82.7,15.0,2.3,0.0,0.0,46.9,45.5,0.7,4.9,44.2,13.5,13.3,2.4,4.7,3.9,1.9,5.4,1.0,1.7,94.8,0.3,3.5
S01007099,3.5,5.1,1.4,0.5,3.1,66.6,19.9,8.4,4.3,0.3,33.1,49.1,12.4,3.3,51.6,14.9,11.1,2.6,5.2,3.1,4.0,7.2,1.3,1.8,84.3,2.1,10.9
S01007100,3.9,9.6,1.9,0.1,4.0,63.3,23.8,10.3,1.3,0.6,42.3,33.6,13.8,3.7,54.1,14.6,14.3,3.9,3.7,4.5,5.0,12.9,2.0,1.3,84.9,2.0,28.2
S01007101,4.5,14.6,3.3,1.4,4.7,25.0,45.7,24.7,4.3,0.3,23.4,23.7,45.0,5.8,69.4,14.9,14.1,2.9,5.7,4.9,10.3,15.5,2.9,1.2,57.0,1.2,18.7
S01007102,2.9,8.5,0.8,0.4,4.1,87.6,11.3,0.0,0.7,0.0,47.7,31.5,2.3,13.1,55.9,12.8,16.1,3.8,4.7,3.8,4.2,11.4,0.7,4.2,89.2,4.6,5.0
S01007103,5.9,7.9,2.3,0.2,4.3,62.2,23.5,13.8,0.3,0.0,49.4,28.2,20.0,0.9,57.1,17.8,13.2,5.4,5.3,2.6,4.3,13.4,2.5,1.5,79.4,1.5,16.7
S01007104,3.7,9.2,1.2,1.0,3.1,81.2,14.4,2.9,1.0,0.0,48.7,33.0,1.0,12.2,59.0,12.5,19.1,2.1,6.1,5.0,1.1,15.4,1.1,0.5,89.3,4.6,9.1
S01007105,5.3,11.0,2.0,0.2,6.1,69.4,16.7,7.8,5.8,0.4,47.1,29.4,16.8,5.0,60.9,17.7,18.2,2.9,6.0,3.6,5.2,6.9,1.1,0.0,76.9,1.3,9.7
S01007106,4.6,12.5,2.7,0.7,4.2,53.5,30.8,15.1,0.6,0.0,47.3,30.4,16.0,4.1,59.5,13.6,18.9,4.0,4.9,5.6,7.1,15.6,2.3,1.3,73.0,2.5,12.5
S01007107,5.4,5.9,1.0,0.4,3.1,86.9,10.4,0.7,0.7,0.7,48.4,41.8,2.3,4.3,51.6,13.7,14.5,3.6,5.7,2.2,3.4,12.8,1.7,2.0,90.2,3.9,5.5
S01007108,10.5,5.5,0.9,0.0,4.2,86.7,8.8,3.3,0.0,0.4,47.3,34.5,3.5,8.0,54.1,13.2,16.2,2.3,2.8,4.6,3.5,10.3,2.0,3.1,89.8,4.4,8.0
S01007109,3.5,9.1,2.9,0.6,4.2,20.0,53.4,16.1,6.3,3.4,28.6,22.1,42.3,5.7,67.5,16.1,17.6,3.3,4.1,6.7,8.0,19.7,3.9,1.3,65.8,1.3,43.9
S01007110,5.2,7.6,3.0,0.8,3.0,33.2,31.8,20.7,12.5,1.2,26.9,32.1,34.0,3.1,61.2,16.3,13.3,3.8,5.9,4.7,7.9,12.5,1.7,2.5,68.2,1.9,22.2
S01007111,6.9,11.3,2.1,1.3,2.7,31.5,46.4,16.6,5.1,0.4,41.3,35.6,17.8,2.2,61.8,15.8,16.6,4.5,5.0,5.8,5.0,12.6,0.8,0.9,79.6,3.6,16.4
S01007112,3.8,17.8,0.4,0.2,2.0,75.5,14.5,4.5,5.0,0.5,58.9,30.8,3.7,4.7,56.4,14.7,22.6,2.8,1.6,2.5,6.2,9.9,1.3,1.9,90.7,0.9,7.5
S01007113,4.2,19.4,0.5,2.4,4.2,18.0,26.5,12.2,22.9,20.4,52.4,31.2,5.2,8.7,50.8,11.9,22.6,2.0,2.7,4.0,4.5,10.9,2.4,2.2,90.0,0.4,5.6
