lsoa21,Efficiency band E-G,Efficiency band A-B,Fossil fuel dependency,Property built 1930-,Property built 2003+,CO2_EMISSIONS_CURRENT
E01000001,19.26,5.74,45.61,10.14,2.7,3.09
E01000002,8.62,52.71,48.52,0,32.02,2.15
E01000003,7,19.83,63.17,0,0.83,1.89
E01000005,8.21,8.93,70.71,21.43,0,1.99
E01000006,12.62,2.15,69.23,32.92,2.15,3.68
E01000007,1.57,50.34,35.59,1.18,19.27,1.32
E01000008,3.09,8.88,93.05,0,2.7,2.2
E01000009,23.61,2.55,80.56,36.34,6.71,3.49
E01000011,21.09,,96.6,69.39,0,4.07
E01000012,9.68,21.39,40.58,10.87,14.6,2.34
E01000013,8.56,1.87,95.45,10.7,2.94,3.29
E01000014,11.14,0,97.21,7.24,,3.26
E01000015,6.45,6.45,98.24,7.42,25,2.65
E01000016,9.24,,98.37,9.78,0,3.28
E01000017,13.82,0,93.77,10.57,0,3.25
E01000018,12.24,,98.83,7.87,,3.31
E01000019,23.26,,95.14,11.46,0,3.92
E01000020,15.34,0,92.33,6.19,0,3.44
E01000021,19.17,5.44,78.76,17.88,5.7,3.31
E01000022,24.47,0,99.29,8.51,0,3.59
E01000024,16.6,0,98.72,6.81,0,3.62
E01000025,13.99,0,97.61,8.19,,3.23
E01000027,10.57,6.29,91.14,3.71,4,3.1
E01000028,10.21,2.88,95.55,1.31,0,2.78
E01000029,19.72,1.97,86.48,7.32,,3.68
E01000030,6.85,19.09,59.71,3.43,0,2.67
E01000031,20.99,3.09,88.89,16.67,3.7,4.08
E01000032,18.91,11.52,81.09,13.91,1.3,3.35
E01000033,12.23,4.89,64.53,4.59,,3.41
E01000034,15.88,2.89,98.92,5.05,5.42,3.23
E01000035,14.45,8.67,85.84,10.4,2.02,3.31
E01000036,18.3,0,96.6,15.32,2.13,3.8
E01000037,18.55,0,98.18,8.36,3.64,3.86
E01000038,18.33,1.61,96.14,5.79,,3.81
E01000039,10.71,0,93.51,2.6,2.27,3.26
E01000040,11.35,3.24,90.27,20,0,2.97
E01000041,11.82,0,98.65,11.49,0,3.31
E01000042,5.93,27.72,73.23,1.91,29.45,2.2
E01000043,19.75,8.64,84.77,27.16,2.47,3.76
E01000044,18.58,,94.38,53.3,0,3.8
E01000045,11.42,4.63,97.84,2.47,2.78,3
E01000046,11.08,0,90.91,5.4,1.7,3.09
E01000049,20.94,11.97,73.08,29.49,,3.46
E01000050,14.58,2.62,86.3,44.61,1.46,3.35
E01000051,0.92,87,12.23,,32.72,0.91
E01000052,16.77,3.4,95.12,44.37,3.18,3.26
E01000053,14.29,8.77,63.41,7.52,11.03,2.77
E01000054,15.96,0,98.23,8.51,,3.28
E01000055,10.7,0,99.26,8.12,,3.25
E01000056,4.87,12.61,85.67,5.16,18.05,2.72
E01000057,8.63,3.14,96.08,3.53,10.2,3
E01000058,5.99,4.43,99.48,3.91,15.62,2.75
E01000059,14.79,0,94.86,6.11,2.25,3.28
E01000060,21.85,6.62,69.76,2.21,0,3.53
E01000061,5.65,38.6,26.9,,0,2.12
E01000062,16.37,2.27,90.68,10.83,0,3.46
E01000063,13.4,,97.51,8.1,,3.4
E01000064,9.26,4.29,80.14,5.42,9.26,3.07
E01000065,13.16,6.88,89.68,5.26,11.74,2.9
E01000066,16.91,0,94.46,9.62,0,3.7
E01000067,22.46,0,99.08,16.92,0,4.16
E01000068,28.14,0,99.13,47.62,0,5.02
E01000069,22.97,0,98.65,21.17,2.25,4.87
E01000070,23.75,,97.66,34.78,0,5.02
E01000071,10.96,9.23,73.65,8.85,2.5,3.08
E01000072,13.01,3.86,91.81,6.99,13.73,2.93
E01000073,18.84,1.66,95.57,9.14,,3.36
E01000074,13.64,0,96.06,6.06,,3.15
E01000075,13.74,0,98.4,4.47,0,3.58
E01000076,14.48,0,94.99,7.8,0,3.16
E01000077,12.3,,98.38,8.09,0,3.26
E01000078,13.65,4.18,97.21,7.52,5.57,3.09
E01000079,9.04,0,94.88,6.93,0,3.14
E01000080,12.89,0,92.68,10.8,,3.27
E01000081,15.95,0,97.85,12.58,0,3.41
E01000082,14.1,0,97.44,8.97,2.88,3.2
E01000083,19.09,0,98.58,11.11,0,3.43
E01000084,16.04,0,96.27,13.06,,3.28
E01000085,16.33,0,92.13,9.62,0,3.12
E01000086,10.85,0,98.06,6.2,5.04,3.14
E01000087,28.57,1.7,97.62,18.71,5.78,3.46
E01000088,12.4,0,85.98,11.05,0,3.35
E01000089,14.77,0,95.85,14.25,1.55,3.2
E01000090,14.71,12.03,95.45,13.9,12.03,3.21
E01000091,5.84,12.2,76.92,0,,2.65
E01000093,6.63,12.53,72.73,0,6.14,2.48
E01000094,2.98,56.68,19.45,0,23.99,1.66
E01000095,4.43,61.33,28.24,0.95,40.99,1.55
E01000096,3.27,37.53,62.47,0,,1.98
E01000097,15.23,0,94.83,10.06,1.72,3.26
E01000098,17.75,2.96,98.22,15.09,0,3.53
E01000099,8.7,22.24,74.47,7.74,13.35,2.59
E01000100,11,0,94.17,11.65,0,3.31
E01000101,14.07,1.53,96.94,14.07,0,3.4
E01000102,11.2,,97.66,6.77,2.6,3.12
E01000103,9.76,19.51,67.48,0,2.17,3.18
E01000104,9.33,18.66,77.28,1.42,0,2.57
E01000105,9.43,10.27,87.04,3.7,19.36,2.35
E01000106,10.83,5.04,70.18,1.78,4.15,2.63
E01000107,14.24,3.41,92.26,8.05,0,3.47
E01000108,15.66,11.19,56.6,7.38,5.59,2.98
E01000110,25.38,0,96.97,23.48,1.89,4.37
E01000111,13.23,1.74,94.36,11.71,2.39,3.16
E01000112,12.3,4.7,62.64,17,15.44,3.24
E01000113,15.69,0,92.65,41.67,4.17,3.48
E01000114,18.02,,93.47,15.77,1.13,3.65
E01000115,33.73,10.24,97.59,8.43,0,5.91
E01000116,20.85,2.13,94.47,11.49,0,4.47
E01000117,21.65,0,90.03,6.19,4.47,4.02
E01000118,15.34,5.52,71.78,7.36,28.53,3.75
E01000119,24.76,0,92.72,10.19,13.11,4.73
E01000120,29.65,,99.42,15.12,0,5.6
E01000121,11.6,8.8,73.2,0,0,3.26
E01000122,25.65,0,86.39,9.42,0,4.91
E01000123,17.93,1.68,89.64,32.21,2.52,3.5
E01000124,11.39,15.49,79.27,27.33,6.61,2.8
E01000126,26.96,4.9,66.42,2.21,27.21,3.42
E01000127,8.88,,99.14,29.8,,3.17
E01000128,9.97,0,98.65,30.73,0,3.34
E01000129,7.59,12.41,84.63,20.37,12.04,2.68
E01000130,14.64,5.25,87.57,17.68,5.52,3.14
E01000131,9.01,22.52,68.92,8.11,0,2.52
E01000132,11.11,0,99.07,29.01,,3.19
E01000133,8.81,,97.67,30.83,3.63,3.12
E01000134,6.6,0,80.21,24.27,0,3.03
E01000135,14.92,24.48,71.1,22.61,11.42,4.29
E01000136,22.09,9.2,88.96,35.58,8.28,7.21
E01000137,6.74,4.57,91.3,14.35,7.61,2.44
E01000138,17.1,3.37,74.35,20.73,4.66,3.62
E01000139,17.09,4.11,87.03,47.15,4.43,4.81
E01000140,7.6,31.94,60,26.05,11.78,2.44
E01000141,17.21,0,83.72,70.7,2.33,3.09
E01000142,8.17,3.04,40.11,10.27,2.28,3.04
E01000143,13.68,35.57,61.44,8.96,0,2.13
E01000144,14.37,11.98,81.64,33.53,7.39,3.4
E01000145,16.43,6.99,83.57,41.96,10.49,4.25
E01000146,11.86,12.54,74.75,42.88,6.95,3.31
E01000147,16.81,,96.12,15.95,,4.31
E01000150,9.89,25.29,48.74,9.89,16.78,2.71
E01000151,10.1,6.84,88.93,,5.21,2.78
E01000152,6.67,48.25,51.58,,0.88,2.08
E01000153,11.45,13.61,84.45,,12.96,3.02
E01000154,5.25,55.07,38.41,,0,1.84
E01000156,17.44,4.62,91.03,53.85,3.59,3.98
E01000157,14.92,0,85.91,24.31,0,3.01
E01000158,17.28,0,97.01,48.17,0,3.57
E01000159,20.66,3.59,95.21,17.66,4.79,4.07
E01000160,9.73,8.41,85.62,38.05,14.6,3.03
E01000161,13.52,3.43,82.83,34.76,5.58,3.21
E01000162,19.93,0,94.46,22.14,2.58,4.06
E01000163,7.51,2.37,83.6,6.92,2.57,2.37
E01000164,8.33,2.41,89.69,15.57,5.26,2.93
E01000165,4.62,0,91.97,0,1.95,2.78
E01000166,12.43,4.97,88.67,3.31,0,3.65
E01000167,10.12,4.91,96.53,3.76,5.2,3.34
E01000168,27.18,0,96.92,7.18,,5.46
E01000169,16.33,9.95,66.07,29.85,6.63,3.71
E01000170,13.54,7.9,87.58,37.92,6.09,3.71
E01000171,10.58,16.33,55.56,21.55,8.84,2.53
E01000172,15.19,4.44,92.59,8.52,,4.19
E01000173,17.79,6.72,92.49,12.65,0,4.13
E01000174,11.34,12.55,85.43,29.96,12.75,2.75
E01000175,17.29,2.63,96.62,12.03,0,4.38
E01000176,3.98,11.94,87.06,17.16,4.73,2.43
E01000177,22.54,,79.19,58.38,4.62,3.76
E01000178,17.69,8.04,77.75,38.61,8.58,4.11
E01000179,10.15,5.18,60.04,43.84,2.38,3.16
E01000180,7.53,12.74,86.87,9.65,2.12,2.68
E01000181,20.62,5.15,86.34,68.56,1.8,4.27
E01000182,17.11,4.95,61.86,42.06,3.92,3.68
E01000183,14.57,1.96,95.24,20.45,0,3.75
E01000184,9.7,21.12,92.03,7.97,26.51,2.84
E01000185,5.84,2.92,89.29,10.22,0,2.48
E01000186,24.64,2.42,97.1,10.14,0,6.05
E01000187,18.4,7.72,59.05,8.61,4.75,4.27
E01000188,13.99,28.27,78.27,3.27,40.48,4.85
E01000189,0,79.5,21.22,,21.57,1.42
E01000190,21.66,8.66,88.09,9.03,3.97,4.94
E01000191,14.68,8.73,93.65,9.13,9.52,4.66
E01000192,17.44,4.88,81.63,26.98,6.05,4.29
E01000193,13.63,8.79,68.13,13.41,12.53,3.6
E01000194,12.91,6.13,68.05,26.26,3.94,3.22
E01000195,9.21,4.49,68.09,1.12,6.52,2.98
E01000196,10.34,15.45,70.55,28.93,5.24,2.48
E01000197,15.76,0,89.41,60.34,5.42,3.78
E01000198,12.47,20.27,83.07,8.46,15.14,3.46
E01000199,16.25,7.84,94.68,15.97,10.08,4.81
E01000200,16.79,7.12,88.14,20.99,4.56,3.95
E01000201,19.83,16.53,86.78,14.46,9.09,6.77
E01000202,22.63,8.1,91.06,40.22,7.82,4.68
E01000203,5.14,34.16,84.74,12.44,23.88,2.77
E01000204,18.2,14.98,77.19,33.64,9.45,4.17
E01000205,34.18,0,98.55,56.36,0,5.22
E01000206,18.88,14.46,80.32,30.12,14.46,13.12
E01000207,28.75,3.12,93.75,51.88,0,6.03
E01000208,20.75,5.66,94.03,20.44,2.52,5.45
E01000209,25.96,,98.08,61.54,,4.54
E01000210,24.27,0,95.61,35.96,,4.97
E01000211,11.48,7.32,87.66,40.89,7.17,3.03
E01000212,18.92,0,90.09,49.1,0,5.59
E01000213,37.3,0,98.38,37.3,0,10.16
E01000214,13.63,12.79,77.78,30.4,0,3.77
E01000215,12.1,14.44,79.41,19.53,11.04,3.51
E01000216,19.18,1.64,93.15,35.34,3.29,4.8
E01000217,22.09,5.04,87.6,42.25,5.43,5.51
E01000218,18.32,5.41,90.39,33.33,7.81,4.6
E01000219,15.49,10.5,77.69,30.97,1.57,3.42
E01000220,10.22,13.29,78.32,28.63,14.52,2.79
E01000221,8.28,0,95.27,13.02,0,2.98
E01000222,8.35,29.55,60.81,9.42,4.07,2.74
E01000223,3.35,37.06,50.16,24.44,7.51,2.04
E01000224,9.88,0,89.82,4.79,5.99,3.73
E01000225,17.01,8.84,93.54,14.97,9.52,4.56
E01000226,12.57,0,90.31,31.41,,3.23
E01000227,21.62,0,97.68,13.9,0,4.81
E01000228,16.07,2.68,96.88,7.14,4.91,5.51
E01000229,12.39,0,95.77,4.79,0,3.55
E01000230,17.72,3.6,96.7,6.61,2.7,4.48
E01000231,13.31,0,97.73,9.07,1.42,3.97
E01000232,14.01,5.77,86.81,7.69,3.85,4.27
E01000233,16.72,3.54,93.25,13.5,0,4.34
E01000234,15.1,10.16,85.16,17.19,5.47,3.83
E01000235,11.17,10.06,88.55,21.79,8.1,3.61
E01000236,12.74,6.48,95.03,15.77,5.4,3.85
E01000237,16.33,5.38,73.84,30.06,1.86,3.97
E01000238,15.6,13.04,79.03,39.39,3.32,3.53
E01000239,6.57,6.9,56.57,9.76,12.96,2.68
E01000240,18.81,4.48,83.58,18.81,6.57,4.21
E01000241,14.25,3.38,93.24,21.98,4.59,3.91
E01000242,26.46,19.67,59.25,6.79,13.35,4.42
E01000243,12.65,11.03,71.91,37.06,8.68,2.98
E01000244,13.09,8.12,80.37,33.51,3.14,3.26
E01000245,7.84,5.73,88.08,8.6,8.45,2.51
E01000246,24.03,3.9,87.66,13.96,1.95,4.74
E01000247,14.03,1.28,80.36,24.74,1.53,3.74
E01000248,20.44,12.65,80.05,58.39,8.76,3.87
E01000249,30.61,2.04,97.14,50.61,0,5.51
E01000250,11.21,17.24,68.97,21.12,19.83,2.96
E01000251,9.45,12.96,70.73,18.9,10.21,2.7
E01000252,10.42,4.96,82.88,15.38,0,3.34
E01000253,13.95,39.79,60.98,12.66,5.94,5.99
E01000254,27.89,4.45,92.88,66.47,4.15,5.84
E01000255,7.04,49.3,58.35,10.06,16.1,3.11
E01000256,17.04,9.5,81.28,6.7,3.91,4.62
E01000257,1.88,72.8,27.41,3.14,51.12,1.29
E01000258,14.9,20.99,75.62,22.57,7.45,4.16
E01000259,11.25,9.98,88.54,8.28,34.82,3.41
E01000260,7.63,10.81,88.35,12.08,10.17,3.06
E01000261,14.63,14.1,84.31,26.6,5.85,4.52
E01000263,21.56,15.6,92.2,10.55,10.55,7.38
E01000264,14.6,5.53,76.77,20.58,5.75,4.03
E01000265,7.46,5.54,96.37,19.12,3.44,2.85
E01000266,39.42,0,98.08,28.37,4.33,7.58
E01000267,20.37,,78.15,17.78,,4.78
E01000268,9.81,5.22,41.15,12.1,22.42,2.87
E01000269,19.51,0,97.56,10.57,5.28,4.84
E01000270,18.42,2.63,83.88,13.82,5.92,4.31
E01000271,20.22,3.61,84.48,11.91,0,5.22
E01000272,15.57,32.18,69.55,16.26,2.77,5.47
E01000273,8.65,11.89,73.33,8.83,11.35,3.22
E01000274,18.9,2.89,96.59,24.15,13.12,3.84
E01000275,6.12,17.55,87.77,4.26,6.91,2.88
E01000276,31.96,0,97.94,5.15,0,6.62
E01000277,10.31,11.92,74.4,4.51,6.6,2.56
E01000278,25.71,0,99.05,9.05,0,6.06
E01000279,26.11,12.83,85.4,18.14,10.62,9.23
E01000280,37.44,3.94,93.1,18.72,0,7.83
E01000281,1.33,69.52,48.22,4.08,21.81,1.41
E01000282,18.58,15.57,83.61,20.49,2.19,4.15
E01000283,29.12,2.75,95.6,6.04,0,6.68
E01000284,7.15,13.48,84.03,13.81,3.83,2.73
E01000285,9.66,3.43,93.15,4.05,0,3.3
E01000286,14.74,3.44,80.84,13.02,0,3.39
E01000287,12.68,0,97.41,11.82,3.46,3.42
E01000288,17.99,8.63,90.29,9.35,0,3.72
E01000289,8.83,34.5,82.55,10.27,23.2,2.63
E01000290,12.58,3.87,91.94,1.94,2.26,4.65
E01000291,4.69,47.41,60.49,0,10.62,2.15
E01000292,18.05,14.5,75.44,18.64,2.96,3.98
E01000293,26.45,6.13,83.87,30,8.39,4.61
E01000294,11.93,7.11,87.82,25.38,5.58,3.45
E01000295,18.53,0,81.76,44.12,0,4.52
E01000296,9.87,14.9,71.63,28.9,14.36,2.97
E01000297,15.02,3.51,92.33,54.63,4.15,3.49
E01000298,11.92,9.04,89.81,51.15,12.69,3.15
E01000299,9.09,9.92,57.69,38.51,18.35,2.73
E01000300,16.82,5.14,85.75,36.45,3.74,3.49
E01000301,22.75,7.06,91.37,23.92,3.14,5.06
E01000302,6.89,1.51,94.45,17.14,3.53,2.55
E01000303,23.48,2.83,86.23,29.15,0,5.07
E01000304,15.48,3.27,92.26,53.27,0,3.92
E01000305,6.4,60.7,38.86,12.66,29.26,1.58
E01000306,9.06,0,87.68,50.72,2.17,3.43
E01000307,15.67,0,92.33,27,0,3.63
E01000308,1.67,69.69,33.17,7.64,12.29,1.08
E01000309,15.64,5.03,90.5,27.09,8.1,4.07
E01000310,13.23,4.64,73.2,23.88,5.5,3.09
E01000311,23.36,2.87,90.16,23.77,9.84,5.44
E01000312,5.96,2.06,68.58,15.14,2.29,2.56
E01000313,12.17,6.49,76.88,27.79,12.17,2.98
E01000314,13.3,9.76,81.15,26.61,9.09,3.68
E01000315,18.51,4.11,99.23,33.93,4.88,3.31
E01000316,9.75,13.54,54.69,27.62,31.05,3.27
E01000317,15.58,2.08,90.65,31.43,3.9,3.5
E01000318,18.22,0,98.45,44.96,0,4.73
E01000319,25.22,0,96.9,73.01,0,5.07
E01000320,12.55,22.81,53.99,17.3,1.9,3.07
E01000321,10.9,16.83,65.77,41.11,3.06,2.94
E01000322,14.12,5.15,87.98,20.42,2.86,3.15
E01000323,11.11,6.91,70.42,34.68,3.45,2.87
E01000324,20.5,1.58,90.85,31.55,0,4.42
E01000325,30,,97.37,12.63,0,5.03
E01000326,16.98,,96.6,10.57,0,3.27
E01000327,20,2.98,82.98,7.66,2.13,4.31
E01000328,25.11,0,93.72,4.04,0,4.1
E01000329,14.61,40.11,57.31,8.88,0,2.82
E01000330,17.33,3.34,80.85,13.37,,3.18
E01000331,11.98,5.99,93.09,3.23,0,3.43
E01000332,15.28,2.43,85.07,16.32,0,3.95
E01000333,14.51,11.23,84.46,22.11,5.01,2.94
E01000334,21.54,0,87.69,21.15,0,3.82
E01000335,7.04,11.29,52.05,9.09,9.09,2.44
E01000336,10.02,2.5,77.82,14.31,2.5,2.79
E01000337,15.8,0,82.56,29.7,0,3.62
E01000338,22.62,2.31,85.35,43.19,4.37,3.66
E01000339,22.17,3.94,92.61,12.32,,4.25
E01000340,24.32,6.56,85.33,6.18,2.7,3.79
E01000341,26.89,3.78,89.5,5.46,0,3.89
E01000342,19.29,0,78.35,7.09,0,3.24
E01000343,26.18,2.15,89.7,9.87,6.44,4.18
E01000344,19.63,2.59,95.93,15.56,5.19,3.89
E01000345,28.24,2.94,96.47,17.65,,4.65
E01000346,18.11,0,97.36,10.19,0,3.69
E01000347,15.97,2.08,79.86,7.64,1.74,3.48
E01000348,29.95,0,97.86,9.09,0,5.51
E01000349,34.32,0,95.2,9.59,0,4.97
E01000350,23.16,0,95.48,7.34,0,4.42
E01000351,19.92,0,97.74,6.02,0,4.16
E01000352,12.87,5.85,89.47,5.56,5.26,3.34
E01000353,25,0,99.06,3.77,0,4.71
E01000354,14.71,0,95.8,4.62,0,3.56
E01000355,27.45,,100,11.27,,4.15
E01000356,28.69,4.78,92.83,9.96,,4.63
E01000357,24.14,0,99.43,8.62,,4.85
E01000358,19.52,0,97.61,11.55,,4.15
E01000359,23.98,5.85,89.47,7.02,0,4.43
E01000360,19.92,17.1,71.63,40.04,7.65,3.34
E01000361,21.82,0,95.91,22.27,0,4.24
E01000362,8.33,62.79,32.47,7.47,32.47,2.02
E01000363,26.89,2.1,97.06,21.43,0,5.16
E01000364,17.96,0,88.54,3.41,3.1,4.12
E01000365,17.04,3.54,83.28,22.83,0,3.54
E01000366,19.65,4.99,89.44,28.45,8.21,3.86
E01000367,6.18,48.08,48.25,1.5,4.17,2.15
E01000368,6.86,,95.51,0,,2.88
E01000369,20.08,0,99.24,16.67,2.65,3.93
E01000370,27.31,2.64,96.04,9.69,3.08,4.25
E01000371,22.11,2.04,96.94,4.42,,3.56
E01000372,11.33,0,96.41,19.06,0,3.4
E01000373,2.17,70.05,25.6,7.73,2.17,1.41
E01000374,20.44,0,98.34,7.18,0,3.79
E01000375,13.3,36.7,75.53,18.09,14.36,2.75
E01000376,24.03,0,93.41,27.52,0,3.72
E01000377,13.76,2.01,86.91,7.05,0,3.19
E01000379,21.21,0,84.09,14.39,2.65,3.83
E01000380,4.46,11.36,64.71,0,15.62,1.99
E01000381,10.65,2.78,95.37,5.56,0,3.34
E01000382,25.93,2.78,97.22,10.65,0,4.78
E01000383,25.38,0,94.62,7.31,0,4.67
E01000384,24.32,0,82.38,35.24,0,3.79
E01000385,11.94,14.32,94.69,6.1,23.08,2.57
E01000386,9.42,,83.28,9.73,,2.9
E01000387,23.98,4.98,98.19,3.62,7.69,4.08
E01000388,31.65,0,97.89,10.97,2.95,4.62
E01000389,15.25,5.57,90.62,5.57,12.9,3.59
E01000390,24.55,,96.43,5.8,0,4.71
E01000391,26.64,3.47,94.98,9.27,0,3.95
E01000392,15.14,18.36,61.79,20.1,9.93,3.08
E01000393,21.25,0,94.77,44.6,1.74,4.2
E01000394,15.18,12.87,81.19,11.55,2.64,3.39
E01000395,32.45,21.81,78.72,5.32,0,4.39
E01000396,25,,100,7.45,,4.78
E01000398,18.67,,92.12,5.39,,3.78
E01000399,22.79,8.46,91.18,6.99,0,4.05
E01000400,19.38,5.04,86.43,10.85,6.2,3.82
E01000401,21.36,8.67,72.45,20.12,13,3.65
E01000402,10.71,0,90.66,14.35,1.59,2.69
E01000403,5.87,26.22,77.65,5.49,17.73,2.21
E01000404,5.98,12.37,44.55,9.44,8.11,2.46
E01000405,12.7,23.28,72.22,32.01,1.32,2.9
E01000406,8.94,36.5,52.01,24.45,2.92,2.59
E01000407,11.62,39.21,54.15,3.73,10.58,3
E01000408,20.64,2.14,97.15,67.97,0,4.11
E01000409,34.8,,99.12,8.37,,4.5
E01000410,27.39,0,94.61,12.03,0,4.24
E01000411,27.03,0,97.75,8.56,0,4.22
E01000412,22.38,6.99,84.27,6.99,,3.89
E01000413,22.73,0,96.97,10.1,0,3.74
E01000414,18.08,12.68,68.78,12.21,12.91,3.46
E01000415,33.09,0,96.4,5.76,0,5.37
E01000416,18.58,2.77,96.05,18.97,3.95,3.72
E01000417,19.08,2.31,84.1,13.01,5.49,3.75
E01000418,12.81,2.45,77.93,4.63,1.63,3.01
E01000419,27.12,0,97.88,6.36,,4.44
E01000420,22.99,0,93.1,6.13,0,4.28
E01000421,36.57,,97.22,10.65,,4.56
E01000422,9.96,2.68,99.62,,,3.27
E01000423,34.51,,96.02,11.95,,5.1
E01000424,36.59,3.05,59.45,13.11,0,4.84
E01000425,22.84,5.08,98.98,13.2,5.58,5.11
E01000426,23.46,4.75,87.71,42.46,8.1,3.65
E01000427,12.57,2.95,67.19,9.82,4.72,3.45
E01000428,12.13,9.84,58.52,2.95,6.56,2.99
E01000429,9.05,1.65,47.53,16.87,0,2.74
E01000430,5.39,3.92,94.12,,0,2.79
E01000431,3.56,32.15,61.74,5.12,33.85,1.84
E01000433,7.6,10.07,82.86,5.3,7.77,2.7
E01000434,5.16,2.72,79.62,6.52,0,2.7
E01000435,9.05,4.29,96.67,1.19,,2.64
E01000436,26.77,0,98.48,12.63,0,4.84
E01000437,20.36,,98.64,26.24,0,4
E01000438,22.1,0,99.64,57.25,,3.98
E01000439,15.84,3.63,91.75,55.45,3.96,3.58
E01000440,27.11,,99.4,9.64,0,4.68
E01000441,7.43,2.7,68.24,10.14,12.61,3.03
E01000442,21.14,,97.56,6.1,0,4.02
E01000443,15.31,3.57,90.82,4.08,,3.58
E01000444,22.01,5.02,96.53,9.27,8.88,5.33
E01000445,26.2,0,96.68,2.95,0,4.51
E01000446,17.62,,98.24,9.69,0,3.69
E01000447,12.63,17.81,77.43,36.23,13.25,3.13
E01000448,31.09,7.25,93.78,10.88,0,5.5
E01000449,20.35,1.75,87.37,17.19,2.11,4.65
E01000450,19.47,,97.79,5.31,,4.27
E01000451,20.39,,98.82,4.31,0,4.12
E01000452,20.1,,97.99,5.03,0,4.24
E01000453,21.15,5.29,91.19,3.96,8.37,3.99
E01000454,17,2.43,95.95,17,0,3.62
E01000455,27.73,0,94.96,11.34,0,4.35
E01000456,26.74,,100,3.74,,4.4
E01000457,12.52,13.83,64.48,17.9,16.59,2.74
E01000458,17.46,14.93,69.3,14.93,0,3.79
E01000459,11.61,12.68,67.5,11.43,12.68,2.97
E01000460,19.89,,89.25,16.13,0,4.89
E01000461,27.54,5.8,93.24,6.76,4.35,5.26
E01000462,15.4,6.57,72.48,17.66,11.7,3.1
E01000463,13.7,24.66,97.72,10.5,25.57,3.46
E01000464,12.17,,98.41,0,,3.45
E01000465,5.9,2.08,99.31,,,2.59
E01000466,12.5,0,99.07,,,3.77
E01000467,14.93,0,61.94,0,0,2.71
E01000468,1.44,2.06,77.73,0,5.36,2.35
E01000469,7.69,0,86.39,,0,2.47
E01000470,3.28,77.35,27.12,,68.55,1.15
E01000471,10.11,,99.47,13.3,0,3.34
E01000472,3.86,61.73,21.02,2.54,26.6,1.43
E01000473,15.71,17.71,88.29,14.86,29.43,2.75
E01000474,13.23,0,97.88,19.05,0,3.88
E01000475,11.35,6.38,71.63,11.35,17.38,3.36
E01000476,4.26,25.57,59.94,7.67,13.64,2.4
E01000477,5.05,42.35,55.37,10.91,42.35,1.98
E01000478,6.91,52.73,33.27,4.18,,1.87
E01000479,17.01,0,98.45,12.37,0,6.1
E01000480,31.6,0,99.6,13.6,0,6.15
E01000481,12.84,4.1,76.23,7.38,15.3,3.03
E01000483,7.14,2.55,92.86,7.65,2.55,2.72
E01000484,8.14,23.26,75.58,2.71,1.94,2.67
E01000485,11.07,2.95,95.94,0,5.54,3.25
E01000486,14.35,0,99.07,5.56,2.31,4.58
E01000487,14.36,10.77,76.41,11.28,11.79,3.47
E01000488,15.38,0,94.87,36.32,0,4.37
E01000489,14.19,12.5,73.99,32.77,0,4.58
E01000490,9.13,2.16,78.12,56.73,1.44,2.67
E01000491,9.02,27.25,71.31,21.11,3.07,3.52
E01000492,21.6,0,92.96,52.11,2.82,5.33
E01000493,18.62,2.02,96.76,53.85,0,5.24
E01000494,10.14,12.03,81.6,19.34,6.37,3.63
E01000495,8.05,6.36,96.82,32.84,2.12,2.69
E01000497,7.27,13.77,59.48,18.18,15.84,2.68
E01000498,15.17,1.72,74.83,30,0,2.98
E01000499,8.59,26.04,63.28,13.54,2.34,2.85
E01000501,8.26,4.13,91.97,6.42,1.61,2.64
E01000502,11.04,25.55,80.13,21.77,3.47,3.14
E01000503,9.34,2.75,73.9,15.11,2.75,3.78
E01000504,17.49,0,94.26,64.48,0,3.94
E01000505,8.67,7.33,93.67,16.33,5.67,3.5
E01000506,8.56,25.31,64.17,28.88,25.85,2.36
E01000507,21.63,2.48,97.16,33.33,1.77,4.47
E01000508,7.67,14.67,79.91,41.76,5.64,2.62
E01000509,13.44,0,74.7,24.9,3.56,3.5
E01000510,10,5.79,91.05,24.21,4.47,3.38
E01000511,10.17,27.27,67.75,19.7,27.71,2.8
E01000512,12.65,1.47,90,56.76,0,3.6
E01000513,25.11,0,99.15,2.55,0,4.42
E01000514,15.64,,97.16,20.85,,3.68
E01000515,8.64,3.06,93.04,8.08,1.67,2.94
E01000516,8.5,46.15,50.4,15.18,0,2.34
E01000517,22.22,,93.94,27.27,,4.66
E01000518,13.64,0,97.11,12.81,0,3.78
E01000519,12.33,0,97,13,,3.55
E01000520,11.18,5.29,82.35,11.47,3.24,3.19
E01000521,12.68,3.17,82.41,61.49,2.54,2.71
E01000522,8.38,0,94.8,54.05,0,2.82
E01000523,11.94,1.25,92.87,74.33,2.85,3.19
E01000524,14.51,5.84,79.34,62.46,6.78,2.73
E01000525,13.93,1.83,85.62,71,0,3.03
E01000526,6.09,3.58,93.91,30.47,6.09,2.48
E01000527,11.96,0,90.87,71.09,1.3,3.03
E01000528,10.21,9.05,53.83,25.29,10.9,2.22
E01000530,13.92,2.27,95.79,67.31,3.56,4.16
E01000531,10.59,4.71,91.06,78.59,7.06,3
E01000532,10.95,0,98.91,84.31,0,3.51
E01000533,12.86,28.48,60.03,42.27,26.19,2.5
