lsoa21,Efficiency band E-G,Efficiency band A-B,Fossil fuel dependency,Property built 1930-,Property built 2003+,CO2_EMISSIONS_CURRENT
E01019427,19.02,10.66,91.35,42.36,12.39,5.69
E01019428,13.59,13.27,87.06,18.12,16.5,3.9
E01019429,25.74,5.15,90.44,51.1,5.51,5.3
E01019430,19.6,24.28,95.1,28.29,22.05,4.39
E01019431,27.04,3.7,91.48,40,3.7,4.27
E01019432,16.32,20.98,91.84,15.62,15.85,3.74
E01019433,26.41,15.38,80.77,55.64,1.54,4.35
E01019434,18.47,2.7,94.59,20.72,2.7,3.7
E01019435,14.88,2.09,92.95,15.4,11.75,3.73
E01019436,29.74,3.02,94.4,44.4,6.03,4.82
E01019437,13.17,2.88,93.42,6.17,2.88,3.57
E01019438,21.91,4.63,91.36,45.37,5.25,4.12
E01019439,19.03,34.32,60.32,23.86,7.24,3.64
E01019440,15.15,10.1,71.46,26.77,18.18,3.67
E01019441,20,9.81,83.21,46.98,5.85,3.42
E01019442,15.25,6.45,89.74,43.11,13.78,4.02
E01019443,15.4,18.02,72.06,20.89,5.22,3.77
E01019444,9.73,16.29,68.33,25.34,2.94,3.39
E01019445,19.25,14.08,85.34,47.99,4.31,4.09
E01019446,16.28,4.07,98.26,11.63,0,4.19
E01019447,22.99,0,95.79,39.46,0,5.2
E01019448,16.19,21.93,76.5,24.28,7.31,4.05
E01019449,20.57,1.43,95.71,32.86,13.14,4.32
E01019450,11.04,2.39,97.61,16.42,5.37,3.38
E01019451,15.2,18.94,79.3,26.43,20.26,3.69
E01019452,8.82,0,98.69,3.27,0,3.26
E01019453,24.27,10.09,81.37,52.14,12.31,3.64
E01019454,12.61,13.45,67.65,0,0,4.46
E01019455,24.86,10.12,87.28,58.96,4.34,4.12
E01019456,19.81,9.32,80.65,42.19,18.41,3.82
E01019457,17.47,28.42,76.71,16.78,2.4,3.65
E01019458,18.1,29.17,63.27,39.19,10.72,3.29
E01019459,15.79,0,82.24,15.13,2.96,3.94
E01019460,16.91,3.68,94.49,38.6,17.65,4.32
E01019461,23.17,9.21,84.13,34.6,5.71,4.28
E01019462,14.66,14.66,98.28,6.9,15.09,3.88
E01019463,12.73,0,97.09,5.45,2.55,3.54
E01019464,9.12,50.56,57.92,10.08,15.04,3.24
